Term,NES,FDR q-val,Perturbation
G2_M_DNA_DAMAGE_CHECKPOINT,-2.045146161,0.194702608,neratinib
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,1.813838045,0.41454165,neratinib
ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,-1.946000123,0.246042102,neratinib
G2_M_CHECKPOINTS,-1.940395836,0.175006325,neratinib
EUKARYOTIC_TRANSLATION_ELONGATION,1.730453864,0.317771675,neratinib
CELLULAR_RESPONSE_TO_STARVATION,1.704856349,0.244104442,neratinib
EUKARYOTIC_TRANSLATION_INITIATION,1.696814318,0.190924546,neratinib
METABOLISM_OF_LIPIDS,1.672109836,0.174709036,neratinib
CHROMOSOME_MAINTENANCE,-1.896339138,0.202694133,neratinib
PHOSPHOLIPID_METABOLISM,1.643904147,0.169347457,neratinib
CELL_CYCLE,-4.214802206,0,AZD-9291
METABOLISM_OF_STEROIDS,2.609027132,0,AZD-9291
COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,-2.68640945,0,AZD-9291
ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,-2.686521191,0,AZD-9291
AURKA_ACTIVATION_BY_TPX2,-2.690449863,0,AZD-9291
DNA_REPAIR,-2.714856592,0,AZD-9291
APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,-2.746530954,0,AZD-9291
MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,-2.779144627,0,AZD-9291
SYNTHESIS_OF_DNA,-2.912551497,0,AZD-9291
DNA_REPLICATION_PRE_INITIATION,-2.997591639,0,AZD-9291
SENSORY_PERCEPTION,1.994121672,0.291076011,BRD-K68202742
CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,-1.589925197,1,BRD-K68202742
TRNA_PROCESSING,-1.577236119,1,BRD-K68202742
METABOLISM_OF_NUCLEOTIDES,-1.378466294,1,BRD-K68202742
NEURONAL_SYSTEM,1.562440611,1,BRD-K68202742
PROTEIN_LOCALIZATION,1.553513255,1,BRD-K68202742
INFLUENZA_INFECTION,-1.222292527,1,BRD-K68202742
TRANSCRIPTIONAL_REGULATION_BY_RUNX3,-1.193429247,1,BRD-K68202742
TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,1.512999194,1,BRD-K68202742
GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,1.493249473,1,BRD-K68202742
NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,-2.625646771,0.00221372,chloroquine
DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,-2.090606746,0.160494671,chloroquine
SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,-1.903309096,0.336485379,chloroquine
EXTRACELLULAR_MATRIX_ORGANIZATION,-1.84537132,0.344786827,chloroquine
