Term,NES,FDR q-val,Perturbation
GPCR_LIGAND_BINDING,-2.763458405,0,swainsonine
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,-2.644414641,0,swainsonine
SIGNALING_BY_GPCR,-2.480495256,0.000859419,swainsonine
CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,-2.430542484,0.000966846,swainsonine
PEPTIDE_LIGAND_BINDING_RECEPTORS,-2.366691076,0.001804779,swainsonine
G_ALPHA_I_SIGNALLING_EVENTS,-2.11623495,0.015469533,swainsonine
ADAPTIVE_IMMUNE_SYSTEM,-2.084370638,0.020257722,swainsonine
SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS,-1.920723399,0.075091691,swainsonine
NEURONAL_SYSTEM,-1.9162466,0.069183189,swainsonine
RHO_GTPASES_ACTIVATE_FORMINS,-1.893329345,0.07386702,swainsonine
EUKARYOTIC_TRANSLATION_ELONGATION,-3.063676759,0,nicardipine
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-2.971066908,0,nicardipine
NONSENSE_MEDIATED_DECAY_NMD,-2.951055812,0,nicardipine
CELLULAR_RESPONSE_TO_STARVATION,-2.92586316,0,nicardipine
SELENOAMINO_ACID_METABOLISM,-2.92578653,0,nicardipine
EUKARYOTIC_TRANSLATION_INITIATION,-2.79274051,9.52E-05,nicardipine
SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.728161262,0.000244882,nicardipine
ADAPTIVE_IMMUNE_SYSTEM,2.481290035,0.005041102,nicardipine
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,2.446653291,0.005881286,nicardipine
CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,2.421187322,0.00448098,nicardipine
MITOTIC_METAPHASE_AND_ANAPHASE,3.137380108,0,bambuterol
CELL_CYCLE_MITOTIC,3.048718523,0,bambuterol
M_PHASE,2.806677982,0,bambuterol
CELL_CYCLE_CHECKPOINTS,2.757178804,0,bambuterol
EUKARYOTIC_TRANSLATION_ELONGATION,-2.686944846,0,bambuterol
NONSENSE_MEDIATED_DECAY_NMD,-2.675816037,0,bambuterol
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-2.673654264,0,bambuterol
EUKARYOTIC_TRANSLATION_INITIATION,-2.613702601,0,bambuterol
SELENOAMINO_ACID_METABOLISM,-2.603872405,0,bambuterol
CELLULAR_RESPONSE_TO_STARVATION,-2.602378726,0,bambuterol
EUKARYOTIC_TRANSLATION_ELONGATION,3.882710993,0,neratinib
CELLULAR_RESPONSES_TO_STIMULI,2.452187644,0,neratinib
PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,-2.533290283,0,neratinib
SARS_COV_INFECTIONS,2.601200551,0,neratinib
INFECTIOUS_DISEASE,2.605670789,0,neratinib
VIRAL_INFECTION_PATHWAYS,2.781020655,0,neratinib
METABOLISM_OF_RNA,2.789173041,0,neratinib
SARS_COV_2_INFECTION,2.836477895,0,neratinib
NERVOUS_SYSTEM_DEVELOPMENT,2.950873984,0,neratinib
SARS_COV_2_HOST_INTERACTIONS,3.20086096,0,neratinib
EUKARYOTIC_TRANSLATION_ELONGATION,4.802149866,0,enalapril
CELLULAR_RESPONSES_TO_STIMULI,2.556346807,0,enalapril
REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,2.710973228,0,enalapril
NERVOUS_SYSTEM_DEVELOPMENT,2.800361294,0,enalapril
SARS_COV_1_HOST_INTERACTIONS,2.924305363,0,enalapril
SARS_COV_1_INFECTION,2.976185877,0,enalapril
METABOLISM_OF_RNA,3.054897014,0,enalapril
RRNA_PROCESSING,3.970241386,0,enalapril
METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,4.094289451,0,enalapril
SIGNALING_BY_ROBO_RECEPTORS,4.242705174,0,enalapril
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-2.878744458,0,trimipramine
EUKARYOTIC_TRANSLATION_ELONGATION,-2.873389355,0,trimipramine
NONSENSE_MEDIATED_DECAY_NMD,-2.869920683,0,trimipramine
EUKARYOTIC_TRANSLATION_INITIATION,-2.817955519,0,trimipramine
SELENOAMINO_ACID_METABOLISM,-2.809801319,0,trimipramine
REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,-2.772903359,0,trimipramine
SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.770037116,0,trimipramine
CELLULAR_RESPONSE_TO_STARVATION,-2.751741349,0,trimipramine
RRNA_PROCESSING,-2.743477904,0,trimipramine
SIGNALING_BY_ROBO_RECEPTORS,-2.691994614,0,trimipramine
SELENOAMINO_ACID_METABOLISM,-3.06085262,0,fluorouracil
EUKARYOTIC_TRANSLATION_ELONGATION,-3.058333217,0,fluorouracil
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-3.053871217,0,fluorouracil
NONSENSE_MEDIATED_DECAY_NMD,-3.032184372,0,fluorouracil
EUKARYOTIC_TRANSLATION_INITIATION,-3.022810719,0,fluorouracil
REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,-2.912545826,0,fluorouracil
CELLULAR_RESPONSE_TO_STARVATION,-2.899178037,0,fluorouracil
SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.862977437,0,fluorouracil
SIGNALING_BY_ROBO_RECEPTORS,-2.855444428,0,fluorouracil
INFLUENZA_INFECTION,-2.749317996,0,fluorouracil
PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,-3.968901547,0,aripiprazole
METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,2.726456956,0,aripiprazole
ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,2.734615439,0,aripiprazole
SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,2.785547675,0,aripiprazole
SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,2.88547885,0,aripiprazole
SARS_COV_1_HOST_INTERACTIONS,2.899506283,0,aripiprazole
TRANSLATION,2.91166349,0,aripiprazole
SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,3.117734386,0,aripiprazole
RRNA_PROCESSING,3.141179163,0,aripiprazole
INFLUENZA_INFECTION,3.171291684,0,aripiprazole
MITOTIC_METAPHASE_AND_ANAPHASE,3.38660397,0,ibudilast
CELL_CYCLE_CHECKPOINTS,3.177608065,0,ibudilast
CELL_CYCLE_MITOTIC,3.063280981,0,ibudilast
M_PHASE,2.968437174,0,ibudilast
REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,2.78608049,0,ibudilast
MITOTIC_SPINDLE_CHECKPOINT,2.774384526,0,ibudilast
SEPARATION_OF_SISTER_CHROMATIDS,2.743531314,0,ibudilast
EUKARYOTIC_TRANSLATION_ELONGATION,-2.383575543,0,ibudilast
MAPK6_MAPK4_SIGNALING,2.608793557,0.000552855,ibudilast
DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,2.588663152,0.000491427,ibudilast
SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,3.174296658,0,gimeracil
REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,2.666250428,0,gimeracil
C_TYPE_LECTIN_RECEPTORS_CLRS,2.686358717,0,gimeracil
ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,2.707997678,0,gimeracil
S_PHASE,2.716952309,0,gimeracil
APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,2.729720267,0,gimeracil
DNA_REPLICATION,2.729929909,0,gimeracil
CELL_CYCLE_CHECKPOINTS,2.751098002,0,gimeracil
APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,2.752570763,0,gimeracil
MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,2.695713989,0,gimeracil
GPCR_LIGAND_BINDING,3.075155446,0,relcovaptan
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,3.006899967,0,relcovaptan
SIGNALING_BY_GPCR,2.875394328,0,relcovaptan
CELL_CYCLE_MITOTIC,-2.867456193,0,relcovaptan
M_PHASE,-2.865507273,0,relcovaptan
MITOTIC_PROMETAPHASE,-2.827745351,0,relcovaptan
CELL_CYCLE_CHECKPOINTS,-2.761059821,0,relcovaptan
ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,-2.755438925,0,relcovaptan
G_ALPHA_I_SIGNALLING_EVENTS,2.542317583,0,relcovaptan
G_ALPHA_Q_SIGNALLING_EVENTS,2.479415925,0.000108325,relcovaptan
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,3.506532459,0,omeprazole
SARS_COV_1_INFECTION,2.739740833,0,omeprazole
SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,2.759673143,0,omeprazole
SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,2.8707721,0,omeprazole
NERVOUS_SYSTEM_DEVELOPMENT,2.873600987,0,omeprazole
METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,2.89932496,0,omeprazole
SARS_COV_1_HOST_INTERACTIONS,2.902911305,0,omeprazole
RRNA_PROCESSING,2.998336482,0,omeprazole
TRANSLATION,3.036016252,0,omeprazole
ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,2.728049424,0,omeprazole
EUKARYOTIC_TRANSLATION_ELONGATION,4.575208357,0,dacomitinib
SARS_COV_INFECTIONS,2.569024592,0,dacomitinib
SARS_COV_2_INFECTION,2.670504641,0,dacomitinib
SARS_COV_2_HOST_INTERACTIONS,3.061989423,0,dacomitinib
INFECTIOUS_DISEASE,3.265836828,0,dacomitinib
CELLULAR_RESPONSES_TO_STIMULI,3.42396615,0,dacomitinib
VIRAL_INFECTION_PATHWAYS,3.435007809,0,dacomitinib
SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,3.485498868,0,dacomitinib
SARS_COV_1_HOST_INTERACTIONS,3.530620414,0,dacomitinib
ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,3.547198376,0,dacomitinib
METABOLISM_OF_RNA,-3.513149832,0,brequinar
CELLULAR_RESPONSE_TO_HEAT_STRESS,-2.658367973,0,brequinar
G_ALPHA_Q_SIGNALLING_EVENTS,2.687602452,0,brequinar
CELL_CYCLE_CHECKPOINTS,-2.73324357,0,brequinar
REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,-2.759264391,0,brequinar
M_PHASE,-2.776295406,0,brequinar
RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,-2.720819559,0,brequinar
RRNA_PROCESSING,-2.890172465,0,brequinar
SIGNALING_BY_GPCR,2.960699735,0,brequinar
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,3.10586644,0,brequinar
RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY,2.814474632,0,alectinib
EUKARYOTIC_TRANSLATION_ELONGATION,-2.711663423,0,alectinib
SELENOAMINO_ACID_METABOLISM,-2.706515112,0,alectinib
NONSENSE_MEDIATED_DECAY_NMD,-2.673670642,0,alectinib
SIGNALING_BY_ROBO_RECEPTORS,-2.647413676,0,alectinib
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-2.632903258,0,alectinib
REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,-2.553447578,0,alectinib
EUKARYOTIC_TRANSLATION_INITIATION,-2.460037561,0,alectinib
INTERFERON_SIGNALING,2.575236212,0.003222476,alectinib
CELLULAR_RESPONSE_TO_STARVATION,-2.375916049,0.000493178,alectinib
REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,2.995787861,0,vanoxerine
CELLULAR_RESPONSE_TO_HEAT_STRESS,2.793699132,0.001485677,vanoxerine
SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,2.781365216,0.000990451,vanoxerine
C_TYPE_LECTIN_RECEPTORS_CLRS,2.77407052,0.000742838,vanoxerine
FC_EPSILON_RECEPTOR_FCERI_SIGNALING,2.758989283,0.000594271,vanoxerine
DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,2.710124172,0.000495226,vanoxerine
CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,2.529287525,0.001273437,vanoxerine
MITOTIC_METAPHASE_AND_ANAPHASE,2.528867026,0.001114257,vanoxerine
NONSENSE_MEDIATED_DECAY_NMD,-2.379307256,0.002396397,vanoxerine
CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,2.501551465,0.001650752,vanoxerine
REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,3.220954539,0,levocabastine
REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,-2.460457502,0,levocabastine
SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.617228944,0,levocabastine
CELLULAR_RESPONSE_TO_STARVATION,-2.667557412,0,levocabastine
SELENOAMINO_ACID_METABOLISM,-2.80124762,0,levocabastine
EUKARYOTIC_TRANSLATION_INITIATION,-2.678386537,0,levocabastine
CELL_CYCLE_MITOTIC,2.8115719,0,levocabastine
NONSENSE_MEDIATED_DECAY_NMD,-2.92409811,0,levocabastine
CELLULAR_RESPONSE_TO_HEAT_STRESS,2.939327686,0,levocabastine
EUKARYOTIC_TRANSLATION_ELONGATION,-2.963610009,0,levocabastine
NONSENSE_MEDIATED_DECAY_NMD,-2.981923061,0,glasdegib
EUKARYOTIC_TRANSLATION_ELONGATION,-2.97010571,0,glasdegib
REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,2.941563106,0,glasdegib
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-2.863753611,0,glasdegib
SELENOAMINO_ACID_METABOLISM,-2.858928259,0,glasdegib
CELLULAR_RESPONSE_TO_STARVATION,-2.775598842,0,glasdegib
EUKARYOTIC_TRANSLATION_INITIATION,-2.758217854,0,glasdegib
SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.675052938,0,glasdegib
GASTRULATION,2.751989778,0.003178745,glasdegib
SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,2.623676321,0.003178745,glasdegib
EUKARYOTIC_TRANSLATION_ELONGATION,-3.249165355,0,lapatinib
SARS_COV_1_INFECTION,-2.526803963,0,lapatinib
SARS_COV_1_HOST_INTERACTIONS,-2.587684549,0,lapatinib
METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,-2.633350644,0,lapatinib
ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,-2.683523619,0,lapatinib
SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,-2.683943382,0,lapatinib
SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,-2.777495076,0,lapatinib
RRNA_PROCESSING,-2.80389912,0,lapatinib
INFLUENZA_INFECTION,-2.926547949,0,lapatinib
TRANSLATION,-2.909814752,0,lapatinib
METABOLISM_OF_RNA,-2.848467668,0,betrixaban
PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,-2.813991495,0,betrixaban
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,2.616689472,0,betrixaban
GPCR_LIGAND_BINDING,2.535989546,0,betrixaban
SIGNALING_BY_GPCR,2.522942245,0,betrixaban
MRNA_SPLICING,-2.278107418,0.005769,betrixaban
G_ALPHA_Q_SIGNALLING_EVENTS,2.254221076,0.001415806,betrixaban
SUMOYLATION,-2.272878892,0.005769,betrixaban
G_ALPHA_S_SIGNALLING_EVENTS,2.223216601,0.001698967,betrixaban
CELL_CYCLE_CHECKPOINTS,-2.23179147,0.008076599,betrixaban
FATTY_ACID_METABOLISM,2.535717435,0.002394691,phenazone
SIGNALING_BY_FGFR,-2.207898482,0.030782386,phenazone
SIGNALING_BY_FGFR2,-2.10206672,0.049593844,phenazone
MAPK_FAMILY_SIGNALING_CASCADES,-2.081223587,0.043323358,phenazone
INTERFERON_SIGNALING,-2.036033453,0.049878866,phenazone
METABOLISM_OF_VITAMINS_AND_COFACTORS,2.105400983,0.0766301,phenazone
SIGNALING_BY_FGFR1,-1.969342172,0.072965655,phenazone
POTENTIAL_THERAPEUTICS_FOR_SARS,-1.943429547,0.076195905,phenazone
MAPK1_MAPK3_SIGNALING,-1.934729908,0.070359739,phenazone
CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,-1.934054196,0.061992304,phenazone
PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,-3.154020602,0,VX-809
SIGNALING_BY_ROBO_RECEPTORS,2.593365899,0,VX-809
CELLULAR_RESPONSE_TO_STARVATION,2.629135178,0,VX-809
INFLUENZA_INFECTION,2.709718851,0,VX-809
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,2.727351818,0,VX-809
TRANSLATION,2.743850755,0,VX-809
EUKARYOTIC_TRANSLATION_INITIATION,2.664165122,0,VX-809
SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,2.808048998,0,VX-809
SELENOAMINO_ACID_METABOLISM,2.808048998,0,VX-809
