Term,NES,FDR q-val,Perturbation
RRNA_PROCESSING,2.596329058,0,sparfosic-acid
TRANSLATION,2.576304133,0,sparfosic-acid
NONSENSE_MEDIATED_DECAY_NMD,2.403552092,0.001026609,sparfosic-acid
EUKARYOTIC_TRANSLATION_ELONGATION,2.323283482,0.004619741,sparfosic-acid
SELENOAMINO_ACID_METABOLISM,2.28615861,0.004927723,sparfosic-acid
REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,2.261692873,0.005133045,sparfosic-acid
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,2.225630045,0.005279704,sparfosic-acid
EUKARYOTIC_TRANSLATION_INITIATION,2.067409697,0.011164373,sparfosic-acid
INFLUENZA_INFECTION,2.025637,0.013345918,sparfosic-acid
DNA_REPLICATION,1.916617447,0.025562565,sparfosic-acid
SELENOAMINO_ACID_METABOLISM,-2.796723279,0,zileuton
SARS_COV_1_HOST_INTERACTIONS,-2.371969057,0,zileuton
SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,-2.391811682,0,zileuton
SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,-2.440504057,0,zileuton
METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,-2.454948914,0,zileuton
RRNA_PROCESSING,-2.480815975,0,zileuton
TRANSLATION,-2.489656728,0,zileuton
CELLULAR_RESPONSE_TO_STARVATION,-2.534742453,0,zileuton
ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,-2.386417746,0,zileuton
SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.599194776,0,zileuton
EUKARYOTIC_TRANSLATION_ELONGATION,3.730336822,0,sodium-butyrate
SARS_COV_2_HOST_INTERACTIONS,2.748889959,0,sodium-butyrate
VIRAL_INFECTION_PATHWAYS,2.871952464,0,sodium-butyrate
ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,2.92185917,0,sodium-butyrate
METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,3.00384061,0,sodium-butyrate
METABOLISM_OF_RNA,3.072927962,0,sodium-butyrate
SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,3.118297177,0,sodium-butyrate
SARS_COV_1_INFECTION,3.189334224,0,sodium-butyrate
RRNA_PROCESSING,3.193659159,0,sodium-butyrate
SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,3.195947737,0,sodium-butyrate
EUKARYOTIC_TRANSLATION_ELONGATION,-2.777436746,0,tamoxifen
SELENOAMINO_ACID_METABOLISM,-2.745447105,0,tamoxifen
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-2.727112627,0,tamoxifen
NONSENSE_MEDIATED_DECAY_NMD,-2.7040001,0,tamoxifen
CELLULAR_RESPONSE_TO_STARVATION,-2.671496163,0,tamoxifen
EUKARYOTIC_TRANSLATION_INITIATION,-2.658529058,0,tamoxifen
REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,-2.64394806,0,tamoxifen
SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.642531935,0,tamoxifen
INFLUENZA_INFECTION,-2.612737458,0,tamoxifen
SIGNALING_BY_ROBO_RECEPTORS,-2.546872842,0,tamoxifen
EUKARYOTIC_TRANSLATION_ELONGATION,2.798443108,0,BRD-K76188144
SELENOAMINO_ACID_METABOLISM,2.787665237,0,BRD-K76188144
RRNA_PROCESSING,2.763270541,0,BRD-K76188144
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,2.681808988,0,BRD-K76188144
CLATHRIN_MEDIATED_ENDOCYTOSIS,-3.306045687,0.002155572,BRD-K76188144
NONSENSE_MEDIATED_DECAY_NMD,2.351777141,0.005287808,BRD-K76188144
TRANSLATION,2.408255651,0.006345369,BRD-K76188144
EUKARYOTIC_TRANSLATION_INITIATION,2.317711708,0.005539608,BRD-K76188144
CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,-3.259121578,0.006107453,BRD-K76188144
CELLULAR_RESPONSE_TO_STARVATION,2.12491239,0.010575616,BRD-K76188144
CELL_CYCLE_CHECKPOINTS,2.777626796,0.002052836,7-nitroindazole
CELL_CYCLE_MITOTIC,2.514105238,0.007184926,7-nitroindazole
DNA_REPLICATION,2.436079552,0.006842787,7-nitroindazole
TRANSLATION,2.361600681,0.008211344,7-nitroindazole
SEPARATION_OF_SISTER_CHROMATIDS,2.327173419,0.006979643,7-nitroindazole
RESPIRATORY_ELECTRON_TRANSPORT,2.299028456,0.006500648,7-nitroindazole
RRNA_PROCESSING,2.177974097,0.014956377,7-nitroindazole
MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,2.169672618,0.013343435,7-nitroindazole
SYNTHESIS_OF_DNA,2.133536624,0.016194596,7-nitroindazole
CELL_CYCLE,2.100971733,0.01703854,7-nitroindazole
