Term,NES,FDR q-val,Perturbation
G2_M_CHECKPOINTS,2.947346378,0,thioridazine
CELL_CYCLE_CHECKPOINTS,2.879883636,0,thioridazine
MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,2.839961127,0,thioridazine
S_PHASE,2.816872573,0,thioridazine
NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,2.716819772,0.000892108,thioridazine
GPCR_LIGAND_BINDING,-2.356391554,0.000514001,thioridazine
UB_SPECIFIC_PROCESSING_PROTEASES,2.568145173,0.001486847,thioridazine
DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,2.550015733,0.00127444,thioridazine
TRANSCRIPTIONAL_REGULATION_BY_RUNX2,2.545442462,0.001115135,thioridazine
DOWNSTREAM_TCR_SIGNALING,2.500166484,0.000991231,thioridazine
GPCR_LIGAND_BINDING,2.667378774,0,menadione
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,2.654834758,0,menadione
SIGNALING_BY_GPCR,2.387324512,0.000626265,menadione
AMINE_LIGAND_BINDING_RECEPTORS,2.303449305,0.001565662,menadione
GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER,-2.310673188,0.054015699,menadione
G_ALPHA_Q_SIGNALLING_EVENTS,2.264210668,0.002254553,menadione
PEPTIDE_LIGAND_BINDING_RECEPTORS,2.228417429,0.002609437,menadione
NUCLEOTIDE_EXCISION_REPAIR,-2.171959815,0.069448756,menadione
TRANSLATION,-2.074316537,0.077165284,menadione
KEAP1_NFE2L2_PATHWAY,-1.993793952,0.09549204,menadione
SIGNALING_BY_GPCR,3.410542534,0,vorinostat
METABOLISM_OF_RNA,-3.271484002,0,vorinostat
GPCR_LIGAND_BINDING,2.993362587,0,vorinostat
CELL_CYCLE,-2.897964015,0,vorinostat
PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,-2.851550964,0,vorinostat
CELL_CYCLE_CHECKPOINTS,-2.82710776,0,vorinostat
CELL_CYCLE_MITOTIC,-2.70901631,0,vorinostat
G_ALPHA_I_SIGNALLING_EVENTS,2.593050606,0.000288497,vorinostat
G_ALPHA_Q_SIGNALLING_EVENTS,2.541178356,0.000216373,vorinostat
MRNA_SPLICING,-2.562016476,0.000363621,vorinostat
EUKARYOTIC_TRANSLATION_ELONGATION,-2.39992288,0.001026306,zileuton
SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.359744211,0.001026306,zileuton
SELENOAMINO_ACID_METABOLISM,-2.321080692,0.001368409,zileuton
EUKARYOTIC_TRANSLATION_INITIATION,-2.293320956,0.001026306,zileuton
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-2.257201597,0.002257874,zileuton
RRNA_PROCESSING,-2.249984924,0.002052613,zileuton
SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,-2.212132191,0.002345843,zileuton
TRANSLATION,-2.201765301,0.002694054,zileuton
NONSENSE_MEDIATED_DECAY_NMD,-2.188115234,0.002736817,zileuton
ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,-2.156604063,0.004002595,zileuton
CELL_CYCLE_MITOTIC,-4.769904462,0,neratinib
RHO_GTPASES_ACTIVATE_FORMINS,-2.754360053,0,neratinib
METABOLISM_OF_NUCLEOTIDES,-2.764473451,0,neratinib
MITOTIC_PROPHASE,-2.798886287,0,neratinib
HOMOLOGY_DIRECTED_REPAIR,-2.827249487,0,neratinib
BASE_EXCISION_REPAIR,-2.880482505,0,neratinib
EXTENSION_OF_TELOMERES,-2.940439377,0,neratinib
SEPARATION_OF_SISTER_CHROMATIDS,-2.978604232,0,neratinib
DNA_DOUBLE_STRAND_BREAK_REPAIR,-3.066521484,0,neratinib
MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,-3.187247628,0,neratinib
GPCR_LIGAND_BINDING,2.337649633,0.002366581,resveratrol
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,2.299431531,0.003155441,resveratrol
ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,-1.874756075,0.530979559,resveratrol
CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,-1.79343296,0.434085479,resveratrol
KEAP1_NFE2L2_PATHWAY,-1.778490121,0.312644899,resveratrol
SENSORY_PERCEPTION,1.819275126,0.297137393,resveratrol
RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,-1.639598463,0.520805681,resveratrol
ION_CHANNEL_TRANSPORT,1.803955115,0.2471105,resveratrol
DNA_REPLICATION_PRE_INITIATION,-1.525605777,0.741821078,resveratrol
NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,-1.523837622,0.623674896,resveratrol
GPCR_LIGAND_BINDING,2.865116422,0,NU-1025
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,2.642781822,0,NU-1025
SIGNALING_BY_GPCR,2.460769963,0,NU-1025
NEUTROPHIL_DEGRANULATION,-2.658308714,0.004914729,NU-1025
PEPTIDE_LIGAND_BINDING_RECEPTORS,2.310935906,0.001569307,NU-1025
MITOCHONDRIAL_PROTEIN_DEGRADATION,-2.101299872,0.084779083,NU-1025
G_ALPHA_I_SIGNALLING_EVENTS,2.038644337,0.021719207,NU-1025
MHC_CLASS_II_ANTIGEN_PRESENTATION,-1.883761078,0.230173162,NU-1025
NEURONAL_SYSTEM,1.946032264,0.042475906,NU-1025
G_ALPHA_S_SIGNALLING_EVENTS,1.945511423,0.036497594,NU-1025
GPCR_LIGAND_BINDING,2.803874777,0,BRD-K68202742
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,2.64227746,0,BRD-K68202742
SIGNALING_BY_GPCR,2.384324747,0.002391391,BRD-K68202742
METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,-2.384953241,0.030036969,BRD-K68202742
METABOLISM_OF_RNA,-2.382223425,0.015018484,BRD-K68202742
PEPTIDE_LIGAND_BINDING_RECEPTORS,2.171583353,0.012196094,BRD-K68202742
PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,-1.945125321,0.134781269,BRD-K68202742
SENSORY_PERCEPTION,2.038711042,0.030418493,BRD-K68202742
NEURONAL_SYSTEM,2.028930787,0.028816261,BRD-K68202742
TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,1.960769173,0.040995274,BRD-K68202742
METABOLISM_OF_RNA,2.634635122,0,PJ-34
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,-2.561041252,0,PJ-34
IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,-2.553026166,0,PJ-34
M_PHASE,2.426590327,0.0058378,PJ-34
PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,2.415766291,0.005189155,PJ-34
MRNA_SPLICING,2.37772498,0.0058378,PJ-34
GPCR_LIGAND_BINDING,-2.38095261,0.001157119,PJ-34
CELL_CYCLE_MITOTIC,2.354951895,0.005448613,PJ-34
CELL_CYCLE,2.337566996,0.005189155,PJ-34
TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,2.306809103,0.006671771,PJ-34
MEMBRANE_TRAFFICKING,2.786103287,0,olaparib
GPCR_LIGAND_BINDING,-2.29161356,0,olaparib
VESICLE_MEDIATED_TRANSPORT,2.569692013,0.005306004,olaparib
