Term,NES,FDR q-val,Perturbation
INTEGRIN_CELL_SURFACE_INTERACTIONS,2.1848249,0.086978503,PD-0325901
INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,2.102289308,0.093281293,PD-0325901
ECM_PROTEOGLYCANS,2.020369907,0.128576918,PD-0325901
INTERFERON_GAMMA_SIGNALING,2.006237549,0.10777771,PD-0325901
TNFR2_NON_CANONICAL_NF_KB_PATHWAY,1.947597384,0.131098034,PD-0325901
EUKARYOTIC_TRANSLATION_ELONGATION,1.937843333,0.11618143,PD-0325901
RNA_POLYMERASE_II_TRANSCRIPTION,-1.910995187,0.388086661,PD-0325901
SARS_COV_1_INFECTION,1.880558145,0.154148237,PD-0325901
RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY,1.877718825,0.137243254,PD-0325901
NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,-1.843651176,0.289534685,PD-0325901
TRANSLATION,2.859834943,0,swainsonine
EXTRACELLULAR_MATRIX_ORGANIZATION,-2.821663471,0,swainsonine
ECM_PROTEOGLYCANS,-2.762163537,0,swainsonine
RRNA_PROCESSING,2.670803152,0.000891793,swainsonine
METABOLISM_OF_RNA,2.665926451,0.000594529,swainsonine
AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,2.596444067,0.001337689,swainsonine
SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,2.594892113,0.001070152,swainsonine
RESPIRATORY_ELECTRON_TRANSPORT,2.556360761,0.001486322,swainsonine
CELLULAR_RESPONSE_TO_STARVATION,2.50918803,0.00127399,swainsonine
GPCR_LIGAND_BINDING,-2.505951143,0.001635253,swainsonine
IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,-2.098132702,0.147362743,PLX-4720
ECM_PROTEOGLYCANS,1.983687743,0.311786182,PLX-4720
INTEGRIN_CELL_SURFACE_INTERACTIONS,1.935648666,0.225118345,PLX-4720
TCR_SIGNALING,-1.928840015,0.194502975,PLX-4720
VESICLE_MEDIATED_TRANSPORT,1.927052236,0.162797447,PLX-4720
EXTRACELLULAR_MATRIX_ORGANIZATION,1.913826821,0.134907483,PLX-4720
CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,1.891961353,0.129293151,PLX-4720
FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,1.853032472,0.150442284,PLX-4720
DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS,1.77522844,0.233138818,PLX-4720
NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,1.770304912,0.212308947,PLX-4720
CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,-2.339837325,0.011339029,pelitinib
