Term,NES,FDR q-val,Perturbation
RRNA_PROCESSING,4.271659556,0,rosiglitazone
ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,2.998686802,0,rosiglitazone
METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,3.012970991,0,rosiglitazone
METABOLISM_OF_RNA,3.261508065,0,rosiglitazone
SIGNALING_BY_ROBO_RECEPTORS,3.508691994,0,rosiglitazone
CELLULAR_RESPONSE_TO_STARVATION,3.564526519,0,rosiglitazone
REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,3.746476903,0,rosiglitazone
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,3.879443177,0,rosiglitazone
CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,2.994034992,0,rosiglitazone
TRANSLATION,3.926575847,0,rosiglitazone
GPCR_LIGAND_BINDING,-3.158513278,0,flutamide
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,-3.057140834,0,flutamide
RRNA_PROCESSING,2.999062733,0,flutamide
PEPTIDE_LIGAND_BINDING_RECEPTORS,-2.922223588,0,flutamide
SIGNALING_BY_GPCR,-2.914280949,0,flutamide
EUKARYOTIC_TRANSLATION_ELONGATION,2.876294175,0,flutamide
EUKARYOTIC_TRANSLATION_INITIATION,2.777295779,0,flutamide
NONSENSE_MEDIATED_DECAY_NMD,2.772003408,0,flutamide
SELENOAMINO_ACID_METABOLISM,2.768009229,0,flutamide
SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,2.727018625,0,flutamide
EUKARYOTIC_TRANSLATION_ELONGATION,4.719229378,0,progesterone
SARS_COV_2_INFECTION,2.755587853,0,progesterone
SARS_COV_2_HOST_INTERACTIONS,3.088501822,0,progesterone
INFECTIOUS_DISEASE,3.227724508,0,progesterone
VIRAL_INFECTION_PATHWAYS,3.22969993,0,progesterone
METABOLISM_OF_RNA,3.408315823,0,progesterone
