Term,NES,FDR q-val,Perturbation
REACTOME_GPCR_LIGAND_BINDING,2.76256651,0,rosiglitazone
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,2.710841332,0,rosiglitazone
REACTOME_SIGNALING_BY_GPCR,2.654627775,0,rosiglitazone
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,2.499871036,0.000105923,rosiglitazone
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,2.467641683,8.47E-05,rosiglitazone
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,-2.420940054,0.118502731,rosiglitazone
REACTOME_PROTEASOME_ASSEMBLY,-2.368171405,0.085173838,rosiglitazone
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,2.134809504,0.004731212,rosiglitazone
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,2.122110023,0.004115852,rosiglitazone
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,2.117745064,0.003813216,rosiglitazone
REACTOME_MUSCLE_CONTRACTION,2.432806768,0.001166256,lenalidomide
REACTOME_LEISHMANIA_INFECTION,-2.212858028,0.007452651,lenalidomide
REACTOME_TRANSLATION,-2.117590948,0.021736899,lenalidomide
REACTOME_INFLUENZA_INFECTION,-2.06521645,0.027326387,lenalidomide
REACTOME_SELENOAMINO_ACID_METABOLISM,-2.055145318,0.022979007,lenalidomide
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.01444732,0.023600062,lenalidomide
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,-1.987625562,0.026705333,lenalidomide
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,-1.985450442,0.02049479,lenalidomide
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-1.985450442,0.02049479,lenalidomide
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,-1.984318063,0.018493616,lenalidomide
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,-3.154209728,0,ASN-05257430
REACTOME_GPCR_LIGAND_BINDING,2.562531464,0,ASN-05257430
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,2.586284623,0,ASN-05257430
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,-2.646903453,0,ASN-05257430
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-2.677011005,0,ASN-05257430
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,-2.734115591,0,ASN-05257430
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,-2.741408553,0,ASN-05257430
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,-2.842316971,0,ASN-05257430
REACTOME_MRNA_SPLICING,-2.626176963,0,ASN-05257430
REACTOME_RRNA_PROCESSING,-2.923343073,0,ASN-05257430
REACTOME_GPCR_LIGAND_BINDING,2.575594717,0,olaparib
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,2.422924952,0.000868747,olaparib
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,2.289525178,0.004343736,olaparib
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,2.046984471,0.038442063,olaparib
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,2.039802961,0.034749887,olaparib
REACTOME_CHROMATIN_ORGANIZATION,-1.830775255,0.577086188,olaparib
REACTOME_SIGNALING_BY_GPCR,1.953830205,0.070368522,olaparib
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,-1.683728518,0.677366738,olaparib
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,1.871250193,0.123610313,olaparib
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,1.8335587,0.147252647,olaparib
REACTOME_MUSCLE_CONTRACTION,2.597801329,0,promethazine
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,1.857976518,0.038358712,promethazine
