,names,pvals,logfoldchanges,condition,cellline
13276796,FNDC3A,4.3943368559464296e-10,-0.3078102767467499,flutamide,A375
13276797,ELAC2,1.1301966979493823e-09,0.1853766590356826,flutamide,A375
13276798,DRG2,2.024967289220032e-09,0.1938434541225433,flutamide,A375
13276799,IRAK1,2.036643739826752e-09,0.1656025797128677,flutamide,A375
13276800,CPOX,4.0734562284421654e-09,-0.2443789392709732,flutamide,A375
13276801,BEST1,4.088815857919106e-09,-0.4255010187625885,flutamide,A375
13276802,CLDND1,6.182976409982023e-09,-0.3645247220993042,flutamide,A375
13276803,PLOD3,9.444600724768158e-09,0.1077532693743705,flutamide,A375
13276804,PRPF6,1.1018752806669064e-08,0.1927117109298706,flutamide,A375
13276805,MYCN,1.3617887087860595e-08,-0.5812597870826721,flutamide,A375
13276806,RNPS1,1.4251485356369194e-08,0.0746915861964225,flutamide,A375
13276807,RNF13,1.6094030546204823e-08,-0.2358489483594894,flutamide,A375
13276808,VPS26C,1.880070890009111e-08,-0.3270221948623657,flutamide,A375
13276809,RPS6KA5,2.013294825516294e-08,-0.2550984025001526,flutamide,A375
13276810,DNAJC3,2.4483089052874024e-08,-0.276800662279129,flutamide,A375
13276811,CREG1,2.5148939890181146e-08,-0.1753484457731247,flutamide,A375
13276812,LONP1,3.5957280243839754e-08,0.1802730411291122,flutamide,A375
13276813,ANKRD49,3.744968850517526e-08,-0.3197657465934753,flutamide,A375
13276814,PIK3C3,4.1338930577650326e-08,-0.2555843889713287,flutamide,A375
13276815,MKLN1,4.1778152561614086e-08,-0.2554288506507873,flutamide,A375
13278796,S100A4,2.777281133591083e-13,-0.1320334821939468,lonidamine,A375
13278797,GGA3,3.597305107907793e-11,0.206274464726448,lonidamine,A375
13278798,GADD45B,4.59824395439672e-11,0.2471546530723571,lonidamine,A375
13278799,CTNNAL1,4.852208689202289e-11,-0.3098244667053222,lonidamine,A375
13278800,BLVRA,1.5417120108539752e-10,0.0925963297486305,lonidamine,A375
13278801,PAPPA2,4.6640682016565e-10,0.2387210577726364,lonidamine,A375
13278802,PYCR1,4.839550249207986e-10,0.1505393087863922,lonidamine,A375
13278803,RBM34,5.828439102483112e-10,0.0558339916169643,lonidamine,A375
13278804,ARHGEF2,1.352484926659907e-09,0.1379586011171341,lonidamine,A375
13278805,ARMCX3,1.8142243703557119e-09,0.2404274344444275,lonidamine,A375
13278806,POLR1C,1.9221764335138683e-09,-0.1328731030225753,lonidamine,A375
13278807,NUP88,2.0537196513400993e-09,-0.0706740394234657,lonidamine,A375
13278808,TFAP2A,2.503173715010769e-09,-0.7221159338951111,lonidamine,A375
13278809,GFPT1,2.6777771895762663e-09,0.1861160546541214,lonidamine,A375
13278810,PCGF3,3.936902832250243e-09,-0.3121793270111084,lonidamine,A375
13278811,ADI1,4.336055389305233e-09,-0.0558833293616771,lonidamine,A375
13278812,DHDDS,9.244658383739134e-09,0.1106303706765174,lonidamine,A375
13278813,NET1,1.029219027136006e-08,0.1376363188028335,lonidamine,A375
13278814,HLA-G,1.57607071474686e-08,0.183743804693222,lonidamine,A375
13278815,INTS3,1.7048220490101567e-08,0.1357939541339874,lonidamine,A375
13280796,CALU,4.191318215640885e-30,0.2534229755401611,TG-101348,A375
13280797,TMEM109,1.2593441364695785e-22,-0.178052932024002,TG-101348,A375
13280798,NAT10,3.058682907581233e-21,-0.2952173054218292,TG-101348,A375
13280799,MCM5,6.891418605701241e-21,-0.4047255218029022,TG-101348,A375
13280800,POP1,2.1655317070591558e-20,-0.3292567133903503,TG-101348,A375
13280801,PFAS,2.7068363913078382e-20,-0.3252424001693725,TG-101348,A375
13280802,CTH,3.6866836308078735e-20,0.2336505502462387,TG-101348,A375
13280803,HERPUD1,4.1447484772226654e-20,0.2677442729473114,TG-101348,A375
13280804,HIRIP3,7.751459695816264e-20,-0.3051337897777557,TG-101348,A375
13280805,PDHX,9.776242741167674e-20,-0.2608835995197296,TG-101348,A375
13280806,TMEM59,1.5806424267586106e-19,0.2784773409366607,TG-101348,A375
13280807,PRSS23,1.7206351257173429e-19,-0.2317122519016266,TG-101348,A375
13280808,MAP1LC3B,3.0109400042708828e-19,0.2611700594425201,TG-101348,A375
13280809,USP9X,4.556154118183721e-19,0.1959277391433715,TG-101348,A375
13280810,CCNB2,5.28069636625434e-19,-0.5427585244178772,TG-101348,A375
13280811,TRIM14,1.0892940934413114e-18,-0.130358874797821,TG-101348,A375
13280812,PACSIN3,1.1603274771666333e-18,-0.2546140849590301,TG-101348,A375
13280813,SUV39H1,1.1718321895573937e-18,-0.351841539144516,TG-101348,A375
13280814,TPT1,1.4931645810805936e-18,0.3117358088493347,TG-101348,A375
13280815,GABARAPL2,3.497539573876721e-18,0.2450732737779617,TG-101348,A375
13282796,BAX,7.145496958113552e-30,0.3487716317176819,MLN-8054,A375
13282797,ORC2,3.005456476741504e-29,0.3133264482021332,MLN-8054,A375
13282798,PTP4A1,8.832343007538518e-27,0.2269954681396484,MLN-8054,A375
13282799,AP1S1,1.0758188726989074e-25,0.1977368593215942,MLN-8054,A375
13282800,AKAP8L,1.678334912725811e-25,0.3205942213535309,MLN-8054,A375
13282801,CEMIP2,4.1148055856543927e-25,-0.1396372020244598,MLN-8054,A375
13282802,POLG2,1.16390923982235e-24,0.0726569592952728,MLN-8054,A375
13282803,DDB2,1.3766540063962123e-24,0.1781261265277862,MLN-8054,A375
13282804,SH2D2A,1.9976392985923303e-24,0.227146714925766,MLN-8054,A375
13282805,DYRK3,3.8561940354953475e-24,0.1981009244918823,MLN-8054,A375
13282806,ZDHHC24,4.287343940360286e-24,0.2653999328613281,MLN-8054,A375
13282807,YIPF2,4.528476294386284e-24,0.3024487793445587,MLN-8054,A375
13282808,LIPG,1.2649828563391721e-23,0.1572382748126983,MLN-8054,A375
13282809,AURKA,1.4828193377351985e-23,0.2020834386348724,MLN-8054,A375
