,names,pvals,logfoldchanges,condition,cellline
0,CCNA2,4.09171916957244e-27,-0.2408777773380279,neratinib,A549
1,NEIL3,6.466212310154547e-25,-0.2648032307624817,neratinib,A549
2,BUB1,4.163809957931488e-23,-0.2329400777816772,neratinib,A549
3,RFWD3,1.2810307179810626e-22,-0.3481726944446563,neratinib,A549
4,CDK1,4.3879091300879965e-22,-0.1784687936305999,neratinib,A549
5,KIF20B,5.6316873088831145e-22,-0.309323787689209,neratinib,A549
6,KIF18B,1.2001796785213613e-21,-0.1369092315435409,neratinib,A549
7,MRPL20,1.5393737526454394e-21,-0.3364753127098083,neratinib,A549
8,LBR,3.135589567424027e-21,-0.1485788524150848,neratinib,A549
9,CDC6,3.210118382568748e-21,-0.2143038511276245,neratinib,A549
10,NUP88,5.78646177185273e-21,-0.1237654015421867,neratinib,A549
11,ARL4C,5.9693143785129446e-21,-0.2307071834802627,neratinib,A549
12,SPC25,6.707350374121704e-21,-0.2650859653949737,neratinib,A549
13,URB2,9.543803223240271e-21,-0.2734204232692718,neratinib,A549
14,KIF20A,1.659767697193262e-20,-0.2454645633697509,neratinib,A549
15,NAA15,1.841194143454785e-20,-0.3317883908748626,neratinib,A549
16,RRP1B,2.1923111711519243e-20,-0.2105452567338943,neratinib,A549
17,SCAF4,3.494758371821826e-20,-0.3122670650482178,neratinib,A549
18,WDR3,3.7714994219575243e-20,-0.2554997205734253,neratinib,A549
19,CDC27,3.800337350877488e-20,-0.2947188317775726,neratinib,A549
2000,BNIP3L,1.5740136180060508e-17,0.2194821834564209,AZD-9291,A549
2001,HMOX1,1.7018888935692043e-16,0.1265054792165756,AZD-9291,A549
2002,TRIM38,2.3346790884050787e-15,0.2161773294210434,AZD-9291,A549
2003,CSTB,1.1303265935118835e-14,0.2345870733261108,AZD-9291,A549
2004,SPP1,1.5148557239865823e-14,0.1275456100702285,AZD-9291,A549
2005,RRAGA,2.307901658009072e-14,0.1878760606050491,AZD-9291,A549
2006,AMPD3,2.440269267576161e-14,0.3757326900959015,AZD-9291,A549
2007,EDA,3.9688434131032936e-14,0.5765715837478638,AZD-9291,A549
2008,CCNG1,1.1220993931809017e-13,0.2727689445018768,AZD-9291,A549
2009,VAT1,1.1220993931809017e-13,0.2206039428710937,AZD-9291,A549
2010,TRAPPC6A,1.2186332755921053e-13,0.3617589175701141,AZD-9291,A549
2011,BHLHE40,2.569648662372413e-13,0.162452831864357,AZD-9291,A549
2012,PLK1,3.694157079907363e-13,-0.4971190989017486,AZD-9291,A549
2013,WDR74,4.0911098051995154e-13,-0.4054455161094665,AZD-9291,A549
2014,HMGCL,5.036014280363985e-13,0.3552116751670837,AZD-9291,A549
2015,ERP29,9.155885344966436e-13,0.2582272589206695,AZD-9291,A549
2016,MAPK14,1.0080508863363417e-12,0.3222900927066803,AZD-9291,A549
2017,KLHL24,1.355160990566785e-12,0.2598580121994018,AZD-9291,A549
2018,GPR143,1.5735415477180077e-12,0.3067775666713714,AZD-9291,A549
2019,GTF2IRD1,2.127618462424336e-12,0.2223466336727142,AZD-9291,A549
4000,MAN2B1,2.31730103941694e-68,0.5853451490402222,BRD-K68202742,A549
4001,NOSIP,6.3549036548601205e-68,0.603508710861206,BRD-K68202742,A549
4002,LRPAP1,7.908132241449676e-66,0.4948385655879974,BRD-K68202742,A549
4003,CCDC85B,5.527898605132386e-61,0.4209161102771759,BRD-K68202742,A549
4004,EFNA3,7.673939062863099e-61,0.5348484516143799,BRD-K68202742,A549
4005,SLC35A2,2.190363879905929e-60,0.3072474598884582,BRD-K68202742,A549
4006,CHMP1A,9.071616695620405e-60,0.4595085382461548,BRD-K68202742,A549
4007,SMARCD2,9.214011181503257e-60,0.4691140949726105,BRD-K68202742,A549
4008,KATNA1,1.5500136671715724e-59,0.4603006243705749,BRD-K68202742,A549
4009,CALU,1.6531015965376577e-59,0.2322205752134323,BRD-K68202742,A549
4010,KATNB1,3.63138735196388e-59,0.5689417123794556,BRD-K68202742,A549
4011,STUB1,1.1226998129209738e-58,0.2142483592033386,BRD-K68202742,A549
4012,NFKBIB,3.64115972445489e-58,0.4229232370853424,BRD-K68202742,A549
4013,GAMT,2.3000664842675683e-57,0.3601953685283661,BRD-K68202742,A549
4014,ZNF202,3.072672394274211e-57,-0.5524842739105225,BRD-K68202742,A549
4015,MLH3,6.83581879804523e-57,-0.4357779622077942,BRD-K68202742,A549
4016,SPATA2L,1.9918929918355669e-56,0.5056893825531006,BRD-K68202742,A549
4017,PEX16,2.472019500167096e-56,0.6440275311470032,BRD-K68202742,A549
4018,NANS,2.493455745664069e-56,0.3461979627609253,BRD-K68202742,A549
4019,GPKOW,4.085665561854039e-56,0.2849726676940918,BRD-K68202742,A549
6000,GPKOW,1.4423670060739021e-22,0.2288233786821365,chloroquine,A549
6001,SUV39H1,1.612357999830066e-22,0.2199053019285202,chloroquine,A549
6002,C1orf216,3.3749725592648364e-19,0.319002091884613,chloroquine,A549
6003,EFNB3,1.4016154380759944e-18,0.4210262894630432,chloroquine,A549
6004,WASHC4,1.887321568692788e-18,-0.2832822501659393,chloroquine,A549
6005,PQBP1,5.99734256622543e-18,0.2334748357534408,chloroquine,A549
6006,RAE1,7.382116121772105e-18,0.1024698987603187,chloroquine,A549
6007,CCDC106,1.1953701250031534e-17,0.349326878786087,chloroquine,A549
6008,ECH1,1.5664010455746312e-17,0.1625873446464538,chloroquine,A549
6009,CEP250,2.785858222371925e-17,0.3056063055992126,chloroquine,A549
6010,DNAJC7,6.398216322522351e-17,0.2201354652643203,chloroquine,A549
6011,CCDC22,7.73211069251477e-17,0.3075233101844787,chloroquine,A549
6012,SPATA2L,1.0013036151295507e-16,0.3446062207221985,chloroquine,A549
6013,PSMB10,1.0288688953146971e-16,0.2100437134504318,chloroquine,A549
6014,PFDN6,1.1409976262458575e-16,0.2570314109325409,chloroquine,A549
6015,GSS,1.3861258505155694e-16,0.2133981585502624,chloroquine,A549
6016,EIF2B5,2.1807304707743303e-16,0.3995513617992401,chloroquine,A549
6017,MAT2A,2.2933577216112287e-16,0.0656953826546669,chloroquine,A549
6018,LRP10,3.6936329463896213e-16,0.1741406470537185,chloroquine,A549
6019,GAGE1,3.844317602579185e-16,0.4192027151584625,chloroquine,A549
8000,FOXO4,2.660875202452741e-117,0.6333193778991699,vorinostat,A549
8001,PTPN1,1.0043370963398966e-111,0.2487038075923919,vorinostat,A549
8002,CALU,1.237068811414823e-106,0.1874653697013855,vorinostat,A549
8003,RRAGC,2.1207167237267347e-100,0.2970608472824096,vorinostat,A549
8004,RAB11FIP1,3.038504285874184e-95,0.6618545055389404,vorinostat,A549
8005,CYREN,2.116825129168531e-94,-0.3204644918441772,vorinostat,A549
8006,MAN2B1,2.2277400622060751e-94,0.4097216129302978,vorinostat,A549
8007,ZNF202,3.827554296639698e-94,-0.4209379851818084,vorinostat,A549
8008,MLH3,1.0475163258069146e-93,-0.322233110666275,vorinostat,A549
8009,SENP6,3.8572022442767175e-93,-0.4004396498203277,vorinostat,A549
8010,WIPI1,2.2442841057667394e-92,0.2820427417755127,vorinostat,A549
8011,NOSIP,5.335023133580826e-90,0.414806991815567,vorinostat,A549
8012,CYFIP2,2.0909828278042602e-89,0.2137598395347595,vorinostat,A549
8013,IER3,5.319366468937433e-89,0.1487842053174972,vorinostat,A549
8014,ATP6V0D1,1.0724241076029948e-88,0.3064703643321991,vorinostat,A549
8015,PLA2G15,1.772207899288865e-88,0.4831570088863373,vorinostat,A549
8016,ALDOC,1.1750049332264012e-87,0.336807519197464,vorinostat,A549
8017,KIF4A,4.842016945360226e-87,-0.3618860244750976,vorinostat,A549
8018,STXBP1,9.098933372572098e-86,0.3149236738681793,vorinostat,A549
8019,SND1,3.315309886178966e-84,0.426005095243454,vorinostat,A549
10000,APOL6,6.3324487623849056e-21,-0.4164797067642212,rosiglitazone,A549
10001,ADGRF5,2.1524730459848584e-20,0.2570486664772033,rosiglitazone,A549
10002,PAQR6,1.2040620983868608e-19,-0.3401026725769043,rosiglitazone,A549
10003,VAPB,1.449344874934419e-19,-0.3558844029903412,rosiglitazone,A549
10004,PAK1IP1,1.510859760977174e-19,0.2052953690290451,rosiglitazone,A549
10005,EXOSC8,4.683583503503746e-19,0.2460843026638031,rosiglitazone,A549
10006,HP,4.736242758445594e-19,-2.4652116298675537,rosiglitazone,A549
10007,BST1,6.437354051419651e-19,-0.2463806420564651,rosiglitazone,A549
10008,DOCK5,9.323600184993418e-19,-0.3102672398090362,rosiglitazone,A549
10009,DGKG,1.045458497178865e-18,-0.3392038345336914,rosiglitazone,A549
10010,MEOX1,1.313839456385969e-18,0.1993626058101654,rosiglitazone,A549
10011,SINHCAF,1.510863180679499e-18,0.1862114667892456,rosiglitazone,A549
10012,CPEB1,1.5789421002055288e-18,-0.3749454915523529,rosiglitazone,A549
10013,TAP2,1.801881544147978e-18,-0.2249186933040619,rosiglitazone,A549
10014,FHL1,1.9531380723975042e-18,0.2008768916130066,rosiglitazone,A549
10015,KRAS,2.248586210672592e-18,0.3043096661567688,rosiglitazone,A549
