,names,pvals,logfoldchanges,condition,cellline
15418762,COPB2,2.115046432365374e-09,-0.0868249833583831,swainsonine,HELA
15418763,SOX4,2.2900027088228083e-09,0.293832391500473,swainsonine,HELA
15418764,NET1,3.118777287592117e-09,0.2183106243610382,swainsonine,HELA
15418765,CPSF4,4.558529409900704e-09,-0.2666971385478973,swainsonine,HELA
15418766,PIK3C2B,5.456772881826615e-09,-0.0935022830963134,swainsonine,HELA
15418767,PPARG,6.750426546158721e-09,0.3626225590705871,swainsonine,HELA
15418768,SH3BP5,8.54269932839842e-09,-0.0941077843308448,swainsonine,HELA
15418769,TPD52L2,1.789554062039737e-08,0.2774205207824707,swainsonine,HELA
15418770,ATG3,4.7469545764265e-08,0.1243027225136756,swainsonine,HELA
15418771,ATP1B1,6.851566719397888e-08,-0.0898352414369583,swainsonine,HELA
15418772,MYCBP,8.927666900077845e-08,0.0970858111977577,swainsonine,HELA
15418773,TIPARP,1.0388267800869253e-07,0.1468566805124282,swainsonine,HELA
15418774,TTI1,1.7901500617768249e-07,0.3060492277145386,swainsonine,HELA
15418775,NADSYN1,2.044613512274418e-07,0.3564766347408294,swainsonine,HELA
15418776,PHKB,2.349072268751649e-07,-0.1743499636650085,swainsonine,HELA
15418777,FXYD3,3.3000328882860186e-07,0.1775317043066024,swainsonine,HELA
15418778,MPC2,3.393031548798142e-07,0.1695041507482528,swainsonine,HELA
15418779,ACLY,3.7348883545616425e-07,-0.1452046334743499,swainsonine,HELA
15418780,PEX16,3.750829028070463e-07,0.2598987519741058,swainsonine,HELA
15418781,OXCT1,4.075119523397173e-07,-0.0571891888976097,swainsonine,HELA
15420762,DUSP12,1.6847521061179012e-23,0.1523069590330124,nicardipine,HELA
15420763,STX11,4.805887883060983e-23,0.3221732079982757,nicardipine,HELA
15420764,MCM10,1.766750879325917e-22,0.1843628138303756,nicardipine,HELA
15420765,TCERG1,2.0521875590131386e-21,0.1617390364408493,nicardipine,HELA
15420766,MYO10,3.739227944727949e-21,0.1096265912055969,nicardipine,HELA
15420767,NCAPH,7.245178855923195e-21,0.1811452656984329,nicardipine,HELA
15420768,SLC43A3,1.31420976526301e-20,0.1349498480558395,nicardipine,HELA
