,names,pvals,logfoldchanges,condition,cellline
11189848,POMC,2.625437073202313e-06,-0.4232777059078216,sparfosic-acid,HT29
11189849,PKIG,3.0037539113282703e-06,-0.7075662016868591,sparfosic-acid,HT29
11189850,RPGR,3.630295296024798e-06,-0.5393235087394714,sparfosic-acid,HT29
11189851,ATG4A,3.650498878988272e-06,-0.7332847118377686,sparfosic-acid,HT29
11189852,CPEB1,4.010904207584713e-06,-0.8368560671806335,sparfosic-acid,HT29
11189853,PADI4,4.454040895330209e-06,-0.4477258622646332,sparfosic-acid,HT29
11189854,DYSF,4.4786182534657705e-06,-0.3671770095825195,sparfosic-acid,HT29
11189855,COL4A5,4.503325507958392e-06,-0.4650807380676269,sparfosic-acid,HT29
11189856,ZC4H2,5.250607933570683e-06,-0.6736428141593933,sparfosic-acid,HT29
11189857,KIF1B,5.919632413963177e-06,-0.511884331703186,sparfosic-acid,HT29
11189858,MYO1B,5.919632413963177e-06,-0.2886623442173004,sparfosic-acid,HT29
11189859,FAIM2,7.232539148230008e-06,-0.3707260191440582,sparfosic-acid,HT29
11189860,SLC6A15,7.71513842527578e-06,-0.3903935253620147,sparfosic-acid,HT29
11189861,ZNF280A,7.756715914384581e-06,-0.719429612159729,sparfosic-acid,HT29
11189862,KHNYN,7.84051445917551e-06,-0.4380784928798675,sparfosic-acid,HT29
11189863,REPS2,7.925178102133418e-06,-0.4208784699440002,sparfosic-acid,HT29
11189864,CCR10,7.967836982126983e-06,-0.5386987924575806,sparfosic-acid,HT29
11189865,PHKA1,8.010715322456694e-06,-0.3842409253120422,sparfosic-acid,HT29
11189866,TMEM254,8.184444803747015e-06,-0.6037324666976929,sparfosic-acid,HT29
11189867,ATXN1,8.45180736936598e-06,-0.3317312002182007,sparfosic-acid,HT29
11191848,ICAM1,1.188844890525432e-12,-0.1339675635099411,zileuton,HT29
11191849,NFYA,4.5498738688415455e-12,-0.4654801189899444,zileuton,HT29
11191850,PPP2CB,5.0246915344395256e-12,-0.4516492187976837,zileuton,HT29
11191851,NRAS,6.952837284634647e-12,-0.4288960695266723,zileuton,HT29
11191852,CDK4,7.529639656743096e-12,-0.8885139226913452,zileuton,HT29
11191853,ZNF711,7.708035380133422e-12,-0.5879496932029724,zileuton,HT29
11191854,CHORDC1,9.60070455667969e-12,-0.3292255997657776,zileuton,HT29
11191855,CLTC,1.073579390809315e-11,-0.1958159506320953,zileuton,HT29
11191856,LIMA1,1.5915794897824574e-11,-0.2707067728042602,zileuton,HT29
11191857,GNA13,1.6437985132454238e-11,-0.4695350229740143,zileuton,HT29
11191858,GALNT3,2.021877706833308e-11,-0.2508539855480194,zileuton,HT29
11191859,SLC9A3R1,2.298799241709884e-11,-0.3323144912719726,zileuton,HT29
11191860,VAMP3,2.4620868221068062e-11,-0.4261080622673034,zileuton,HT29
11191861,RHOA,2.5247599714979208e-11,-0.4561733901500702,zileuton,HT29
11191862,SERPINB8,2.5305343646366968e-11,-0.4541870951652527,zileuton,HT29
11191863,GAN,3.149454557681643e-11,-0.4497178196907043,zileuton,HT29
11191864,AVIL,3.149454557681643e-11,-0.4891026616096496,zileuton,HT29
11191865,TRIM58,3.8281241880605476e-11,-0.4118556082248688,zileuton,HT29
11191866,IL2RB,4.069310752243639e-11,-0.4482113420963287,zileuton,HT29
11191867,CDK12,4.152962958237282e-11,-0.4647793769836426,zileuton,HT29
11193848,TNIP1,9.602326830959095e-25,0.1697088927030563,sodium-butyrate,HT29
11193849,SSPN,1.827734973252453e-24,-1.0406229496002195,sodium-butyrate,HT29
11193850,BDH1,2.19871286354491e-24,0.1358229517936706,sodium-butyrate,HT29
11193851,ELL2,2.5356482596350867e-24,0.416416585445404,sodium-butyrate,HT29
11193852,KIF13A,2.585719666361776e-24,-0.7309960722923279,sodium-butyrate,HT29
11193853,RHOA,2.6589537030606143e-24,0.4676605761051178,sodium-butyrate,HT29
11193854,CLSTN1,4.6540980518911604e-24,0.3410575687885284,sodium-butyrate,HT29
11193855,RPS27,5.114862489005902e-24,0.3747408986091614,sodium-butyrate,HT29
11193856,TRIM37,7.988661890802821e-24,0.4717583954334259,sodium-butyrate,HT29
11193857,PPIA,8.799551879880448e-24,0.4712665677070617,sodium-butyrate,HT29
11193858,AURKAIP1,1.0469791903545309e-23,0.3781055212020874,sodium-butyrate,HT29
11193859,MAPK6,1.0703195450909916e-23,0.362054705619812,sodium-butyrate,HT29
11193860,PIK3R4,1.1124116202875116e-23,0.355897456407547,sodium-butyrate,HT29
11193861,MATN2,1.1497924750410444e-23,-0.6336447596549988,sodium-butyrate,HT29
11193862,NRAS,1.3049698265826713e-23,0.3064485192298889,sodium-butyrate,HT29
11193863,CLTC,1.3450490647707765e-23,0.1119633689522743,sodium-butyrate,HT29
11193864,NNT,1.4328321951532326e-23,0.397370845079422,sodium-butyrate,HT29
