,names,pvals,logfoldchanges,condition,cellline
2027662,SMU1,2.032400464739123e-18,-0.2136276811361313,thioridazine,MCF7
2027663,NDUFB6,2.8648578255011005e-17,-0.1743775457143783,thioridazine,MCF7
2027664,AKAP6,2.3368337090827514e-16,-0.1918115466833114,thioridazine,MCF7
2027665,CD84,1.4122777929653462e-14,-0.1362938284873962,thioridazine,MCF7
2027666,HEXB,2.2116010639262522e-14,0.1082143187522888,thioridazine,MCF7
2027667,RTP4,5.4961229600336603e-14,-0.1332523822784423,thioridazine,MCF7
2027668,DUSP3,8.68212654274712e-14,0.1392643451690673,thioridazine,MCF7
2027669,HMGCS1,8.808200129805414e-14,0.0448232926428318,thioridazine,MCF7
2027670,GART,2.201662034806179e-13,-0.1039909720420837,thioridazine,MCF7
2027671,DZANK1,3.4949807705921153e-13,-0.1476715803146362,thioridazine,MCF7
2027672,ALOX5AP,5.545193605896358e-13,-0.1538593471050262,thioridazine,MCF7
2027673,LBR,7.259629180398182e-13,0.0998943597078323,thioridazine,MCF7
2027674,NUDT2,1.2184348946193673e-12,-0.1606717705726623,thioridazine,MCF7
2027675,ZFC3H1,2.42826312967026e-12,0.1340520679950714,thioridazine,MCF7
2027676,MTX2,2.584211166874551e-12,-0.1029447615146637,thioridazine,MCF7
2027677,NOL6,3.577204297489233e-12,-0.1344354003667831,thioridazine,MCF7
2027678,APTX,6.428976407563272e-12,-0.1143379509449005,thioridazine,MCF7
2027679,UAP1L1,7.150934175167451e-12,0.0660348385572433,thioridazine,MCF7
2027680,ARHGDIB,1.0121612616712932e-11,-0.1710363328456878,thioridazine,MCF7
2027681,BIRC2,1.3698057299305268e-11,0.1379643678665161,thioridazine,MCF7
2029662,CHD8,1.5224399369603613e-17,0.2161624729633331,menadione,MCF7
2029663,CEBPD,2.155501655392527e-17,0.196897804737091,menadione,MCF7
2029664,PARP1,1.0475851020820586e-16,0.1282340437173843,menadione,MCF7
2029665,PUF60,2.5033000177745914e-16,0.1218700855970382,menadione,MCF7
2029666,GPKOW,2.769224617359439e-16,0.2034145593643188,menadione,MCF7
2029667,RAP1GAP,3.9548940510236323e-16,0.1446189880371093,menadione,MCF7
2029668,TCF20,5.560253587562506e-16,0.2258912175893783,menadione,MCF7
2029669,ABCB6,6.39553825945275e-16,0.1490726321935653,menadione,MCF7
2029670,HLA-DPB1,8.011414311920241e-16,0.1932505071163177,menadione,MCF7
2029671,DGKA,1.1841070155366017e-15,0.2837613224983215,menadione,MCF7
2029672,KEAP1,1.5296109540642357e-15,0.1288878768682479,menadione,MCF7
2029673,PTGIR,1.9157363438000744e-15,0.3412121832370758,menadione,MCF7
2029674,NEK7,2.345989311052969e-15,-0.2455491423606872,menadione,MCF7
2029675,PYGB,2.3523680157187666e-15,0.2470578253269195,menadione,MCF7
2029676,C6orf62,6.107892514674955e-15,-0.2203361093997955,menadione,MCF7
2029677,VPREB3,6.4262808282022765e-15,0.2046868205070495,menadione,MCF7
2029678,SLC6A8,6.8977874139913815e-15,0.184525653719902,menadione,MCF7
2029679,SLC2A6,9.295965163407396e-15,0.1497279703617096,menadione,MCF7
2029680,MIER2,9.470507038405056e-15,0.3137844502925873,menadione,MCF7
2029681,ITIH4,1.9024538498846784e-14,0.3622348010540008,menadione,MCF7
2031662,ST7,2.3017458969141162e-160,-0.605132520198822,vorinostat,MCF7
2031663,GABPB1,6.160225651230727e-158,-0.3938440680503845,vorinostat,MCF7
2031664,PBXIP1,1.8310594966389572e-153,0.5506542921066284,vorinostat,MCF7
2031665,MCM9,7.804105978350093e-153,-0.4866999089717865,vorinostat,MCF7
2031666,FOXO4,1.725419140272177e-148,0.6947498917579651,vorinostat,MCF7
2031667,NSMAF,5.831920549311629e-143,-0.4787172675132751,vorinostat,MCF7
2031668,LCMT2,1.3455287557052453e-142,-0.3686502873897552,vorinostat,MCF7
2031669,LANCL2,6.343469220204204e-141,-0.4402297735214233,vorinostat,MCF7
2031670,EIF4ENIF1,7.560285974455775e-135,-0.2951016128063202,vorinostat,MCF7
