,names,pvals,logfoldchanges,condition,cellline
7927837,TXNRD1,0.0,0.273728996515274,PD-0325901,MDAMB231
7927838,GNPDA1,5.466685194805725e-299,0.2419278919696808,PD-0325901,MDAMB231
7927839,SQSTM1,4.9489178799275e-294,0.4323368668556213,PD-0325901,MDAMB231
7927840,DUSP4,6.428826214164037e-293,-0.4053198099136352,PD-0325901,MDAMB231
7927841,ICAM1,2.990828531172787e-286,0.3196220099925995,PD-0325901,MDAMB231
7927842,PROS1,2.0633119031769831e-280,0.2608947157859802,PD-0325901,MDAMB231
7927843,CTSD,2.387619389113608e-261,0.2223483771085739,PD-0325901,MDAMB231
7927844,PAX8,3.4068088856701303e-261,0.4553636908531189,PD-0325901,MDAMB231
7927845,GAA,3.836976667080572e-256,0.3138627707958221,PD-0325901,MDAMB231
7927846,CLTC,1.0855956288654546e-255,0.0725257694721221,PD-0325901,MDAMB231
7927847,NFKBIA,1.4430718015876653e-251,0.4185258746147156,PD-0325901,MDAMB231
7927848,RELB,1.0896064569508254e-249,0.6552026867866516,PD-0325901,MDAMB231
7927849,C12orf43,1.1739329736313355e-249,-0.3854908049106598,PD-0325901,MDAMB231
7927850,ALDOA,1.8971462428856623e-249,0.2338710725307464,PD-0325901,MDAMB231
7927851,ARL8B,1.2079839336567511e-246,0.3360150456428528,PD-0325901,MDAMB231
7927852,JUN,4.504689372601161e-244,-0.4556122720241546,PD-0325901,MDAMB231
7927853,HK1,2.4531129016147422e-242,0.3780844509601593,PD-0325901,MDAMB231
7927854,CHD9,5.3585763384877335e-242,-0.4270080327987671,PD-0325901,MDAMB231
7927855,SCRN1,1.1138236543596935e-240,0.1986459642648697,PD-0325901,MDAMB231
7927856,CXCL2,8.669841552897221e-240,0.4470014572143554,PD-0325901,MDAMB231
7929837,TLE1,2.346173429254437e-12,0.1349871903657913,swainsonine,MDAMB231
7929838,CFAP20,1.2550568882555292e-11,0.1970494836568832,swainsonine,MDAMB231
7929839,CDC20,1.3660244487228752e-11,0.099873311817646,swainsonine,MDAMB231
7929840,WWC3,2.467101115700024e-11,-0.2150302976369857,swainsonine,MDAMB231
7929841,THAP11,4.731422729804113e-11,0.172661155462265,swainsonine,MDAMB231
7929842,COL4A1,6.308705304774999e-11,-0.1284946352243423,swainsonine,MDAMB231
7929843,FYN,7.756071640091989e-11,0.0877052545547485,swainsonine,MDAMB231
7929844,STK10,8.708023873450502e-11,0.2127857804298401,swainsonine,MDAMB231
7929845,PRG4,9.166928792574727e-11,-0.3746040761470794,swainsonine,MDAMB231
7929846,NUP54,1.1640541471066711e-10,0.184893250465393,swainsonine,MDAMB231
7929847,CHCHD3,1.2354459593201564e-10,0.2227323204278946,swainsonine,MDAMB231
7929848,DNASE1L3,1.4150783028332656e-10,0.2908925712108612,swainsonine,MDAMB231
7929849,NUSAP1,1.4150783028332656e-10,0.1707833558320999,swainsonine,MDAMB231
7929850,AIMP1,1.4700407979632762e-10,0.1899431049823761,swainsonine,MDAMB231
7929851,WASHC4,1.4982989284530551e-10,0.1761898100376129,swainsonine,MDAMB231
7929852,SF3B5,1.689997563446148e-10,0.2627713680267334,swainsonine,MDAMB231
7929853,DDX46,2.3163177909237848e-10,0.2393388301134109,swainsonine,MDAMB231
7929854,UTP6,3.1282204999387343e-10,0.1582951098680496,swainsonine,MDAMB231
7929855,RPP40,3.240731063502177e-10,0.1520696282386779,swainsonine,MDAMB231
7929856,P4HA2,3.470524340581393e-10,-0.1857618242502212,swainsonine,MDAMB231
7931837,DAG1,6.432923778412366e-25,0.1494126319885254,PLX-4720,MDAMB231
7931838,SLC35A1,2.406557026161149e-23,-0.2157776653766632,PLX-4720,MDAMB231
7931839,TOP2A,2.754489255404605e-23,-0.1057397425174713,PLX-4720,MDAMB231
7931840,CALU,7.184352294829162e-23,0.1758052259683609,PLX-4720,MDAMB231
7931841,RAI14,1.961375298967296e-22,-0.267813503742218,PLX-4720,MDAMB231
7931842,NKG7,4.755602559441203e-22,-0.2624299228191376,PLX-4720,MDAMB231
7931843,KCNQ1,6.207164575073756e-22,0.301902711391449,PLX-4720,MDAMB231
7931844,BRIX1,7.739778532016155e-22,-0.253992885351181,PLX-4720,MDAMB231
7931845,PRRX2,9.689270561759868e-22,0.5202001333236694,PLX-4720,MDAMB231
7931846,THUMPD1,1.4694115020934425e-21,-0.4482782483100891,PLX-4720,MDAMB231
7931847,TSPAN6,1.6210966656311333e-21,-0.3364185392856598,PLX-4720,MDAMB231
7931848,PSMD4,1.861455258774114e-21,0.1854385137557983,PLX-4720,MDAMB231
7931849,FXYD6,2.118079138737274e-21,-0.274356484413147,PLX-4720,MDAMB231
7931850,CSNK1G3,5.1818075236690076e-21,0.3397529423236847,PLX-4720,MDAMB231
7931851,CD160,8.367080727426063e-21,-0.54315584897995,PLX-4720,MDAMB231
7931852,SLIT3,8.857663164201028e-21,0.291381299495697,PLX-4720,MDAMB231
7931853,FBLN1,1.0324364605949504e-20,0.3265366852283478,PLX-4720,MDAMB231
7931854,SRGAP2,2.5526639398934347e-20,0.2601188719272613,PLX-4720,MDAMB231
7931855,GPAA1,2.6540798329925432e-20,0.3585869371891022,PLX-4720,MDAMB231
7931856,STC2,4.444982730044153e-20,0.3284477293491363,PLX-4720,MDAMB231
7933837,TSC22D3,9.861097773291028e-19,0.4173028767108917,pelitinib,MDAMB231
7933838,EIF4EBP1,4.038675145826141e-17,0.356961578130722,pelitinib,MDAMB231
7933839,BNIP3L,1.712308636151363e-16,-0.1753392368555069,pelitinib,MDAMB231
7933840,MUC7,3.021020109005389e-16,0.4241911470890045,pelitinib,MDAMB231
7933841,BDH1,4.095069965857857e-16,0.1221168339252471,pelitinib,MDAMB231
7933842,CSNK1A1,4.582703919209111e-16,0.318446397781372,pelitinib,MDAMB231
7933843,SHMT2,7.866955726241894e-16,0.3400405049324035,pelitinib,MDAMB231
7933844,INSL6,9.734675587987917e-16,0.3768227994441986,pelitinib,MDAMB231
7933845,MEP1B,1.4109803846112502e-15,0.3884011805057525,pelitinib,MDAMB231
7933846,APBB1IP,1.6933434093774201e-15,0.3626182079315185,pelitinib,MDAMB231
7933847,AURKB,2.4006497540042e-15,0.2692748010158539,pelitinib,MDAMB231
7933848,SLC34A1,2.517858037956513e-15,0.4276638329029083,pelitinib,MDAMB231
7933849,CLDN14,2.809245744626392e-15,0.5063188076019287,pelitinib,MDAMB231
7933850,KANSL3,3.596001156126497e-15,0.5591868758201599,pelitinib,MDAMB231
7933851,ULBP1,3.647487055770898e-15,0.427002489566803,pelitinib,MDAMB231
7933852,DPP4,5.089691095541981e-15,0.3529449999332428,pelitinib,MDAMB231
7933853,ZFPL1,5.1743465520119984e-15,0.3593884408473968,pelitinib,MDAMB231
7933854,APAF1,5.198787377717706e-15,0.3860536813735962,pelitinib,MDAMB231
7933855,CD40LG,5.347836953508401e-15,0.3383862376213074,pelitinib,MDAMB231
7933856,EMX1,5.501091184296978e-15,0.4144255518913269,pelitinib,MDAMB231
7935837,STRN,3.645317408827328e-20,0.4941672086715698,gefitinib,MDAMB231
7935838,TDRD1,2.9160225960415697e-19,0.4478157460689544,gefitinib,MDAMB231
7935839,DCLK2,5.998455637675426e-19,0.406469851732254,gefitinib,MDAMB231
7935840,HYDIN,5.591103964042357e-18,0.2565933465957641,gefitinib,MDAMB231
7935841,ASB4,1.6458080347012505e-17,0.4488419592380523,gefitinib,MDAMB231
7935842,CFAP44,3.08783292058048e-17,0.4009767174720764,gefitinib,MDAMB231
7935843,GABRG3,7.198616165164544e-17,0.4296702742576599,gefitinib,MDAMB231
7935844,EFR3B,1.675990167484587e-16,0.3098114132881164,gefitinib,MDAMB231
7935845,TNNI3K,7.444921827649328e-16,0.3821080029010772,gefitinib,MDAMB231
7935846,ZNF391,8.254450695198309e-16,0.3070009052753448,gefitinib,MDAMB231
7935847,ASCL3,9.112948403408411e-16,0.3790422976016998,gefitinib,MDAMB231
7935848,MAK,1.4198721857346848e-15,0.2649537920951843,gefitinib,MDAMB231
7935849,TSGA10,2.050070859877424e-15,0.3448974788188934,gefitinib,MDAMB231
7935850,CA1,2.735196322210556e-15,0.4390269815921783,gefitinib,MDAMB231
7935851,TACR1,2.8252916261314536e-15,0.4069526493549347,gefitinib,MDAMB231
7935852,IL12A,3.5431638675661865e-15,0.3163621127605438,gefitinib,MDAMB231
7935853,MC5R,5.7403994528954746e-15,0.3537778854370117,gefitinib,MDAMB231
7935854,PLEKHS1,6.524648161748373e-15,0.3028661906719208,gefitinib,MDAMB231
7935855,KALRN,7.42893847857679e-15,0.362647145986557,gefitinib,MDAMB231
7935856,KRT35,7.997654989964137e-15,0.3791546821594238,gefitinib,MDAMB231
7937837,CDKN1A,3.152039090777912e-24,0.2555026412010193,vorinostat,MDAMB231
7937838,RPS6,3.655901583508152e-24,0.1208366304636001,vorinostat,MDAMB231
7937839,TOMM70,9.135241943352577e-24,0.2289071381092071,vorinostat,MDAMB231
7937840,KCTD15,4.067937894467883e-23,-0.8774871230125427,vorinostat,MDAMB231
7937841,VAT1,2.243848561934843e-22,0.1707400828599929,vorinostat,MDAMB231
7937842,IER3,1.0756396912138386e-21,0.1469842791557312,vorinostat,MDAMB231
7937843,NME6,1.5663165803611037e-21,-0.3546872138977051,vorinostat,MDAMB231
7937844,TBPL1,2.6669846050987408e-21,0.3974564969539642,vorinostat,MDAMB231
7937845,PPARD,3.8511151602068354e-21,0.3381674587726593,vorinostat,MDAMB231
7937846,FNBP1L,2.443888888796333e-20,0.2422730177640915,vorinostat,MDAMB231
7937847,CLCN7,7.316196906854759e-20,0.3547017276287079,vorinostat,MDAMB231
7937848,SERPINE1,9.02018237047332e-20,0.1692292541265487,vorinostat,MDAMB231
7937849,ATP6V1A,9.6194268853932e-20,0.3612557053565979,vorinostat,MDAMB231
7937850,PSMD1,1.3565566195130125e-19,0.3444719612598419,vorinostat,MDAMB231
7937851,C2CD2L,2.0361659430297424e-19,0.4031409323215484,vorinostat,MDAMB231
7937852,DNTTIP2,2.6204209046037067e-19,0.1685350984334945,vorinostat,MDAMB231
7937853,MAPK13,3.2206461945499264e-19,0.2568713128566742,vorinostat,MDAMB231
7937854,CCL20,4.204957121859196e-19,0.7539784908294678,vorinostat,MDAMB231
7937855,CBR1,4.479084860968711e-19,0.2003485560417175,vorinostat,MDAMB231
7937856,PRMT2,4.749404052830325e-19,-0.3573076725006103,vorinostat,MDAMB231
7939837,DUSP4,2.5341111915872953e-34,-0.636947751045227,BMS-387032,MDAMB231
7939838,TOB2,3.5291233270235107e-34,-0.7422862648963928,BMS-387032,MDAMB231
