,names,pvals,logfoldchanges,condition,cellline
4270361,MYC,7.699042987070657e-37,0.2046369463205337,rosiglitazone,PC3
4270362,ARID5B,5.7968645901385876e-27,-0.3671337068080902,rosiglitazone,PC3
4270363,TNFRSF21,9.698284009976564e-26,0.0712242573499679,rosiglitazone,PC3
4270364,ATP1B1,1.7584919277690134e-25,-0.1747345924377441,rosiglitazone,PC3
4270365,IL1B,3.621950470678639e-25,0.3678626716136932,rosiglitazone,PC3
4270366,HMOX1,2.5825184979244842e-23,0.1750939637422561,rosiglitazone,PC3
4270367,PRSS23,5.853132162584053e-23,-0.1575777679681778,rosiglitazone,PC3
4270368,MAST2,1.1974781235266846e-22,0.2343316674232483,rosiglitazone,PC3
4270369,NUCB2,2.6634836877421403e-22,-0.2313853204250335,rosiglitazone,PC3
4270370,CSRP1,9.86003838613507e-22,0.0961772501468658,rosiglitazone,PC3
4270371,PPARD,2.755353438381342e-21,0.4024944007396698,rosiglitazone,PC3
4270372,CDKN1A,4.5027771514465656e-21,0.4047063589096069,rosiglitazone,PC3
4270373,ITGB5,1.4521142607039648e-20,0.2514006495475769,rosiglitazone,PC3
4270374,PPARG,3.236929250503227e-20,-0.192744106054306,rosiglitazone,PC3
4270375,CCNA1,2.9709559789290804e-19,0.4871838390827179,rosiglitazone,PC3
4270376,STMN1,3.419282103164979e-19,-0.2106304764747619,rosiglitazone,PC3
4270377,PRKCD,4.52588200032402e-19,0.2793205976486206,rosiglitazone,PC3
4270378,KRT16,1.1401229529045646e-18,0.1649744212627411,rosiglitazone,PC3
4270379,OXSR1,1.1445137477767962e-18,0.1861347109079361,rosiglitazone,PC3
4270380,TIMELESS,1.4054455092856977e-18,-0.1343904286623001,rosiglitazone,PC3
4272361,EMC8,1.8687766867118275e-15,0.1641862541437149,flutamide,PC3
4272362,COLGALT1,7.725313157512522e-15,0.2033369392156601,flutamide,PC3
4272363,TEX264,2.493316514662333e-14,0.2197069227695465,flutamide,PC3
4272364,EXOSC8,1.2749037731373356e-13,0.171850249171257,flutamide,PC3
4272365,APRT,1.518654597244941e-13,0.1702093183994293,flutamide,PC3
4272366,PLK3,2.880539865875985e-13,0.3065497875213623,flutamide,PC3
4272367,TOMM34,1.273540271024709e-12,0.1485730111598968,flutamide,PC3
4272368,CLPB,2.787375274820432e-12,0.2222683429718017,flutamide,PC3
4272369,KDSR,4.4536566889146084e-12,0.2200799137353897,flutamide,PC3
4272370,GAR1,8.627055086649881e-12,0.1436682194471359,flutamide,PC3
4272371,SLC20A1,1.2348027562729676e-11,0.1575278490781784,flutamide,PC3
4272372,GNL3,1.4758393128170197e-11,0.1479400992393493,flutamide,PC3
4272373,SALL1,1.8156351208277747e-11,-0.1530029326677322,flutamide,PC3
4272374,B4GALT2,2.073360861751751e-11,0.164947435259819,flutamide,PC3
4272375,GZMA,2.258084196708056e-11,-0.2402297407388687,flutamide,PC3
4272376,ESD,3.7018757010033357e-11,0.135785236954689,flutamide,PC3
4272377,TYK2,3.900808816365944e-11,0.1959414631128311,flutamide,PC3
4272378,ARHGAP10,4.5956254375736645e-11,0.1683918535709381,flutamide,PC3
4272379,GPC1,8.469198783076193e-11,0.1610181331634521,flutamide,PC3
4272380,ATP13A1,9.005467799350418e-11,0.24220572412014,flutamide,PC3
4274361,POMC,1.0567456623476092e-05,-0.4601824283599853,sparfosic-acid,PC3
4274362,FSHB,1.831371486723704e-05,-0.3489696383476257,sparfosic-acid,PC3
4274363,GH2,2.6502815809546817e-05,-0.4119399785995483,sparfosic-acid,PC3
4274364,TBC1D9B,2.826973166334621e-05,0.3322833776473999,sparfosic-acid,PC3
4274365,DGKG,3.214506160634247e-05,-0.5292444229125977,sparfosic-acid,PC3
4274366,SERPINE1,3.426708920632793e-05,0.3010134994983673,sparfosic-acid,PC3
4274367,AK5,3.652172714218015e-05,-0.3748376965522766,sparfosic-acid,PC3
4274368,GH1,3.974769137796672e-05,-0.4215357005596161,sparfosic-acid,PC3
4274369,TRPM8,4.727506064217074e-05,-0.3642525672912597,sparfosic-acid,PC3
4274370,YWHAH,4.752302151954389e-05,-0.3600051701068878,sparfosic-acid,PC3
4274371,JHY,5.357829037156222e-05,-0.5012754797935486,sparfosic-acid,PC3
4274372,TBKBP1,6.421303677914259e-05,-0.3456540405750274,sparfosic-acid,PC3
4274373,DNM3,6.760077325387521e-05,-0.5569096803665161,sparfosic-acid,PC3
4274374,TRIM17,6.864962996505287e-05,-0.4629078805446625,sparfosic-acid,PC3
4274375,OPRD1,6.971387126959518e-05,-0.4699273407459259,sparfosic-acid,PC3
4274376,CAMP,7.115715670920592e-05,-0.2916266322135925,sparfosic-acid,PC3
4274377,RHAG,8.166426112092829e-05,-0.3541076183319092,sparfosic-acid,PC3
4274378,NT5DC3,8.419049072438897e-05,-0.4011885821819305,sparfosic-acid,PC3
4274379,CXADR,8.461864305306545e-05,-0.2121063023805618,sparfosic-acid,PC3
4274380,BSN,8.504885238299074e-05,-0.4646101295948028,sparfosic-acid,PC3
4276361,CFL1,7.536882209125512e-10,0.4007072448730469,progesterone,PC3
4276362,TUBA1C,1.2060513293459714e-09,0.3209103643894195,progesterone,PC3
4276363,LEF1,1.539441668585643e-09,-0.4189309179782867,progesterone,PC3
4276364,GNAS,1.848887744112089e-09,0.0915552899241447,progesterone,PC3
4276365,SH3BGRL3,2.959628731540995e-09,0.2559523582458496,progesterone,PC3
4276366,TUBA1B,3.1453110318535716e-09,0.3219006657600403,progesterone,PC3
4276367,MAP4K4,5.3688245879802165e-09,0.2354879677295684,progesterone,PC3
4276368,RPS18,5.8482061011232865e-09,0.3609575927257538,progesterone,PC3
4276369,PFN1,7.313306741917831e-09,0.2318178862333297,progesterone,PC3
4276370,RPS10,8.90456010859138e-09,0.3210154771804809,progesterone,PC3
4276371,YBX1,1.1036955026440533e-08,0.2488356977701187,progesterone,PC3
4276372,RPL37A,1.1200239813143766e-08,0.3701097667217254,progesterone,PC3
4276373,RPL32,1.1223757013708473e-08,0.3622655272483825,progesterone,PC3
4276374,RPL23A,1.1558079563728814e-08,0.3559737503528595,progesterone,PC3
4276375,SLC35A1,1.395022785356258e-08,-0.1713669151067733,progesterone,PC3
4276376,RPL41,1.76781239867678e-08,0.3574167191982269,progesterone,PC3
4276377,RPL27A,2.2182924310461163e-08,0.3573066294193268,progesterone,PC3
4276378,EIF3I,3.251732116816516e-08,0.198096752166748,progesterone,PC3
4276379,TOMM34,3.3252669975992215e-08,0.1955936849117279,progesterone,PC3
4276380,COX7C,3.5269480280953216e-08,0.2296497374773025,progesterone,PC3
4278361,SFXN3,6.485413477123666e-22,0.1918771862983703,resveratrol,PC3
4278362,ETFB,4.8579465245051145e-21,0.1526260524988174,resveratrol,PC3
4278363,ATF6,5.118251139292104e-20,0.1034439653158187,resveratrol,PC3
4278364,C11orf49,6.860983675702437e-20,0.2083325833082199,resveratrol,PC3
4278365,EFEMP2,1.0868645004471468e-19,0.214303508400917,resveratrol,PC3
4278366,PCGF2,1.6406333510837718e-19,0.1851466745138168,resveratrol,PC3
4278367,ARFIP2,5.101295250395469e-19,0.1402412354946136,resveratrol,PC3
4278368,LBR,8.218775847643221e-19,-0.14351287484169,resveratrol,PC3
4278369,TIPARP,9.667157528035682e-19,-0.158981055021286,resveratrol,PC3
4278370,ABCB7,2.407269226369552e-18,0.1270637065172195,resveratrol,PC3
