,names,pvals,logfoldchanges,condition,cellline
6623347,ITGB2,1.4363841819441334e-07,0.2209072560071945,rosiglitazone,VCAP
6623348,FOXA1,1.8822880168595105e-07,-0.0939196422696113,rosiglitazone,VCAP
6623349,CTNNB1,3.128644243371196e-07,-0.2745981812477112,rosiglitazone,VCAP
6623350,TMEM59,4.1153083811817333e-07,-0.3117362856864929,rosiglitazone,VCAP
6623351,PDXDC1,4.265616183690779e-07,-0.1881113648414611,rosiglitazone,VCAP
6623352,MAPK1IP1L,4.4212136312853213e-07,-0.2797811031341553,rosiglitazone,VCAP
6623353,IMPDH1,1.5369796493442012e-06,-0.1999984979629516,rosiglitazone,VCAP
6623354,ELF1,1.5904100856011364e-06,-0.1734985113143921,rosiglitazone,VCAP
6623355,TSPYL1,1.64002043857729e-06,-0.2372590899467468,rosiglitazone,VCAP
6623356,EFCAB11,1.7026771540613643e-06,-0.2565503120422363,rosiglitazone,VCAP
6623357,NDUFA1,1.8443330748505968e-06,-0.2642760276794433,rosiglitazone,VCAP
6623358,SFXN1,2.144196963033523e-06,-0.1610565185546875,rosiglitazone,VCAP
6623359,PHF1,2.348398601339568e-06,-0.2839038968086242,rosiglitazone,VCAP
6623360,TPM1,2.486413848015185e-06,-0.1552002727985382,rosiglitazone,VCAP
6623361,SMYD2,2.4947703334884886e-06,-0.1879184246063232,rosiglitazone,VCAP
6623362,HEXB,2.6810939801055583e-06,-0.1953055709600448,rosiglitazone,VCAP
6623363,HCCS,3.09974264030661e-06,-0.1984513252973556,rosiglitazone,VCAP
6623364,BTBD2,3.5866313824576216e-06,0.1906738728284835,rosiglitazone,VCAP
6623365,PPP1R2,3.700984419859101e-06,-0.2764281928539276,rosiglitazone,VCAP
6623366,PSMC1,4.0254748986789605e-06,-0.1461831927299499,rosiglitazone,VCAP
6625347,PPARG,2.789263258771802e-05,-0.4876293540000915,lenalidomide,VCAP
6625348,S100A4,0.0001295618774076,0.4254370927810669,lenalidomide,VCAP
6625349,TMBIM1,0.0001480190343465,-0.2966012060642242,lenalidomide,VCAP
6625350,SDHB,0.0001681099086091,-0.1147687211632728,lenalidomide,VCAP
6625351,DEF8,0.0001773595296254,-0.468382179737091,lenalidomide,VCAP
6625352,XRCC5,0.0002396704872498,-0.229199007153511,lenalidomide,VCAP
6625353,GAS1,0.0002617346811149,0.2282563596963882,lenalidomide,VCAP
6625354,FBLN5,0.0003087791029562,0.3518397808074951,lenalidomide,VCAP
6625355,ALDH1A3,0.0003236092898892,-0.1562482267618179,lenalidomide,VCAP
6625356,TWF1,0.0003359506629637,-0.3424155116081238,lenalidomide,VCAP
6625357,SOAT1,0.0004158928778808,0.2129522114992141,lenalidomide,VCAP
6625358,TNNT2,0.0004255793042957,0.1984506249427795,lenalidomide,VCAP
6625359,CD247,0.0004354760616679,0.237325519323349,lenalidomide,VCAP
6625360,SQOR,0.000437481020386,-0.4304357469081878,lenalidomide,VCAP
6625361,SLC22A3,0.0004435477199252,0.2207379043102264,lenalidomide,VCAP
6625362,ITGB8,0.0004496928724882,-0.3951750695705414,lenalidomide,VCAP
6625363,HCCS,0.000468608410395,-0.3134851157665252,lenalidomide,VCAP
6625364,COPS6,0.000477251355116,-0.1470484882593155,lenalidomide,VCAP
6625365,MAIP1,0.0005251182660308,-0.2262573689222335,lenalidomide,VCAP
6625366,POF1B,0.0005620084188319,-0.1987294256687164,lenalidomide,VCAP
6626169,MBD2,1.7575118076944845e-06,-0.4417365193367004,ASN-05257430,VCAP
6626170,MAGEA1,5.963355782898274e-06,-0.1737478226423263,ASN-05257430,VCAP
6626171,PPP1R2,6.6176463447786735e-06,-0.4324810206890106,ASN-05257430,VCAP
6626172,SLC20A1,7.89718686364517e-06,-0.4078579246997833,ASN-05257430,VCAP
6626173,SMYD2,8.567366920353297e-06,-0.2770915329456329,ASN-05257430,VCAP
6626174,SPATA2L,1.3508307243548254e-05,-0.3045269250869751,ASN-05257430,VCAP
6626175,ACTC1,1.382321935112498e-05,0.2899587452411651,ASN-05257430,VCAP
6626176,PLEKHF2,1.4474175093630554e-05,-0.2172116488218307,ASN-05257430,VCAP
6626177,STAG3,2.299601626688269e-05,-0.3639060854911804,ASN-05257430,VCAP
6626178,XRCC5,2.9405450929003583e-05,-0.2282931506633758,ASN-05257430,VCAP
6626179,SDHB,3.00656781953152e-05,-0.1226607337594032,ASN-05257430,VCAP
6626180,SLC14A1,3.105120671383035e-05,0.2242882549762725,ASN-05257430,VCAP
6626181,HSPB11,3.2326320121820255e-05,-0.2609522044658661,ASN-05257430,VCAP
6626182,COMMD9,3.893744839823249e-05,-0.2775174975395202,ASN-05257430,VCAP
6626183,ALG5,3.979932373981021e-05,-0.2826266884803772,ASN-05257430,VCAP
6626184,CHMP6,4.4299481647901606e-05,-0.3397120237350464,ASN-05257430,VCAP
6626185,RXYLT1,4.737616498523998e-05,-0.1438172459602356,ASN-05257430,VCAP
6626186,GORASP2,4.756331541639406e-05,-0.1247142553329467,ASN-05257430,VCAP
6626187,SUSD6,5.652794434011503e-05,-0.2639318406581878,ASN-05257430,VCAP
6626188,CSNK1A1,5.697125449112816e-05,-0.1924350410699844,ASN-05257430,VCAP
6628169,LDLR,2.229571894572648e-37,0.3024398982524872,olaparib,VCAP
6628170,TIMELESS,3.171905752940705e-37,0.1338080018758773,olaparib,VCAP
6628171,MCF2L,5.12797233585962e-37,0.2420616745948791,olaparib,VCAP
6628172,MLEC,9.232235038883022e-37,0.1934788972139358,olaparib,VCAP
6628173,B4GALT7,2.2835210647071537e-36,0.3235061764717102,olaparib,VCAP
6628174,ETFB,1.213110512017345e-35,0.2646609246730804,olaparib,VCAP
6628175,MDFI,2.393632967641336e-35,0.2524427771568298,olaparib,VCAP
6628176,MAP4K2,5.867635658096871e-35,0.3329322934150696,olaparib,VCAP
6628177,EXOC7,1.2923533167958491e-34,0.2456948310136795,olaparib,VCAP
6628178,KAT6A,1.3411438460364435e-34,0.18732650578022,olaparib,VCAP
