names,logfoldchanges
PAX8,0.60485363
SLC24A1,0.473361373
CHP1,0.429996103
RBKS,0.499169677
AGA,0.406582952
WWOX,0.222120628
PMEL,0.364995986
DCTD,0.347916394
IGBP1,0.315738291
HDAC6,0.372156024
TYRP1,0.444333583
NOTCH1,-0.360427797
DDO,0.319713056
PHACTR2,-0.719231188
PARG,0.372415274
CHN2,0.31623143
ZNF804A,-0.340813339
ACHE,-0.323087633
SH3BP5,0.359973311
TUBA3D,-0.435754091
AICDA,-0.534388423
TRAPPC4,0.384934157
SLC24A1,0.459869713
KRTAP1-1,-0.70527339
SCML2,0.444491208
ATP2A3,-0.638543904
CAPN1,-0.623003006
TRMT61A,-0.592824697
CCNE1,-0.542272747
IL12B,-0.721899033
PPP2R5A,0.171847373
SACM1L,0.163946927
DLX5,-0.378076583
SECISBP2L,0.349358112
KRT36,-0.727032423
ICAM3,0.406565398
TNFRSF4,-0.724405527
IGFBP3,-0.219121546
ZBTB17,-0.484853983
CIB1,0.536337614
PHACTR2,-0.967132509
TK1,-0.632050991
CHP1,0.451722652
CNIH3,0.407803088
CETP,-0.483740896
CCNE1,-0.492749721
CD4,-0.637403905
DLGAP4,-0.516473949
HS6ST1,-0.859546244
SLC29A1,-0.737555325
RPS6,-0.103665747
CIB1,0.492155939
CAPN1,-0.586853802
MBL2,-0.520573735
PEX11B,0.378835618
GMPR2,0.32493481
MED13,-0.381357521
KPNA2,-0.324063659
ACAD8,0.405973643
ARID3B,-0.450941354
SLC24A1,0.494339317
PSME1,0.35485819
CIB1,0.589268744
ICAM3,0.448705852
TFDP2,0.303444952
DDO,0.339409471
EPHA2,-0.309581667
SIRT5,0.48440519
MAGT1,0.484850585
ANKRA2,0.599877715
CGRRF1,0.339850187
SLC50A1,0.294857711
KANSL2,0.309222639
ACTN1,-0.316209018
CDC20,-0.072619461
ICAM4,0.324818105
RRP12,-0.339633375
CHP1,0.393940717
ZFYVE21,0.574213505
PARG,0.365513593
CHP1,0.419016093
ZNF274,0.445303321
CEP290,0.444561839
CCNE1,-0.42304641
ZFYVE21,0.585348427
CDC20,-0.059008665
ATP2A3,-0.499440312
BEST1,0.315517366
KANSL2,0.304027587
DSG1,-0.324673861
NOS3,0.318139851
LYZ,-1.073400259
IGFBP3,-0.22094515
CIB1,0.541949868
YKT6,0.279546261
SLC24A1,0.444748461
SPDEF,0.500614405
GTF2A2,0.151624948
WWP2,-0.491935849
TNFSF11,-0.55457902
FOSL2,0.420961916
PIK3R3,-0.367388487
DCTD,0.3549622
PHACTR2,-0.753430784
CD36,-0.451190561
GAS7,0.281944364
KANSL2,0.294472069
ZNF274,0.450250626
ATP2A3,-0.560672522
ZNF451,0.400760531
GLI2,-0.422832906
PARP2,0.221812159
NOS3,0.309316069
IGFBP3,-0.218889534
SLC5A1,-0.727549314
BEST1,0.319419682
MBD5,0.431018919
YKT6,0.26570788
TUBGCP5,0.237214193
OSBPL9,0.32973972
PRSS23,-0.268825531
IGFBP3,-0.284817755
PIK3R3,-0.312630892
ZNF804A,-0.351799041
CCNE1,-0.441332817
SLC24A1,0.440546602
TGFB2,-0.478388965
PHACTR2,-0.692126393
NABP1,-0.66449362
DCTD,0.337322891
TEX10,-0.144024104
FBXW7,-0.451506048
CHP1,0.390982836
DLX5,-0.373850524
LYZ,-1.083165288
HLA-DRB1,-0.311424702
EPHA2,-0.314838529
KANSL2,0.280066222
TRAPPC4,0.328194827
CAPN1,-0.508717954
ACTN1,-0.355928689
CHP1,0.442951739
SLC3A2,-0.382173419
AGA,0.376207173
PPP2R5A,0.186272249
BEST1,0.313682169
TRMT61A,-0.681789041
TEX10,-0.185795784
PSME1,0.336514682
DDI2,-0.552470922
FOXO4,0.331224144
IL1B,0.550053656
MCM2,-0.256892383
RANGAP1,-0.490926027
APPL2,0.310008436
NOC2L,-0.381168962
TK1,-0.427734464
PHACTR2,-0.740083158
CAP2,-0.526674807
HDAC6,0.343391687
ICAM3,0.501196802
CCNE1,-0.626299322
