names,logfoldchanges,condition
NEUROG1,-1.152780175,BMP2
KRT9,-0.929181755,BMP2
TRPV4,-1.580128431,BMP2
LMX1B,-1.043357372,BMP2
PAF1,-1.114018202,BMP2
PDGFB,-1.16037631,BMP2
DUSP9,-0.813847423,BMP2
HOXC8,-1.026571274,BMP2
MGAT1,-0.6610322,BMP2
IL3RA,-1.258621097,BMP2
PLCH2,-1.082911372,BMP2
RGS14,-0.875671566,BMP2
POU3F3,-1.226163745,BMP2
GPT,-1.215126157,BMP2
ULK1,-0.882873833,BMP2
MATN4,-1.106691003,BMP2
PROC,-1.268541932,BMP2
EVA1B,-1.171204805,BMP2
TRMT61A,-0.817095459,BMP2
CD40LG,-0.766784906,BMP2
CDK1,-1.015170217,KCNMA1
CDCA3,-0.765534043,KCNMA1
SPC25,-0.936725676,KCNMA1
FANCA,-1.125632644,KCNMA1
PAQR4,-0.907790601,KCNMA1
ELP4,-0.901517987,KCNMA1
NEIL3,-0.632207513,KCNMA1
BRCA1,-0.961713016,KCNMA1
RUVBL1,-0.400395602,KCNMA1
NCAPD2,-0.434234023,KCNMA1
NCAPG,-0.819178164,KCNMA1
CHAF1B,-0.910897851,KCNMA1
AGPAT2,-1.265423656,KCNMA1
TCF4,-0.568482697,KCNMA1
DCXR,-0.932529628,KCNMA1
NCAPH,-0.56025666,KCNMA1
IMPA2,-0.581063807,KCNMA1
RNASEH2A,-0.68158108,KCNMA1
BUB1,-0.551560462,KCNMA1
ARMCX1,0.621069014,KCNMA1
SCAF11,-0.936050296,HSPA1A
PDXDC1,0.417689979,HSPA1A
SERPINA10,-0.900015593,HSPA1A
MBIP,-0.701867104,HSPA1A
CYP3A4,-0.713192225,HSPA1A
ZC3H12A,0.376032978,HSPA1A
RNF125,0.39873758,HSPA1A
PTPN2,-0.770285308,HSPA1A
NFIB,-0.56529057,HSPA1A
OLFML2B,-3.759375095,HSPA1A
RBP4,-2.137480259,HSPA1A
TRMT2B,0.457803875,HSPA1A
DIO2,-0.664752483,HSPA1A
CDCA4,-0.512954533,HSPA1A
MYO5C,-0.483255386,HSPA1A
RAD9A,-1.027373314,HSPA1A
F2R,-0.629524827,HSPA1A
WT1,0.261680573,HSPA1A
AGPAT2,-0.976708651,HSPA1A
S100A4,0.180160776,HSPA1A
S1PR4,-0.765292585,TH
TCL6,-1.199787378,TH
EVA1B,-1.143878579,TH
IL1R2,-0.51175791,TH
FBXW7,-0.944019675,TH
MXD1,-0.936917007,TH
EFNA3,-0.99319762,TH
MGAT1,-0.600524247,TH
RUVBL1,-0.354139745,TH
TTR,-1.031453609,TH
HAS1,-0.847234309,TH
RGS14,-0.677174032,TH
P4HA2,-0.689412057,TH
HOXC8,-1.038341999,TH
CDK16,-0.621337295,TH
FAH,-0.629389286,TH
CALU,-0.377845019,TH
ALPI,-0.998954117,TH
OXT,-1.00818193,TH
TRPV4,-1.240122199,TH
C4BPB,-0.869971454,CDC14A
SCAMP1,-0.9459548,CDC14A
CNOT6,-0.512549937,CDC14A
BBS7,-0.636784792,CDC14A
PRPSAP1,-0.413654447,CDC14A
USP39,-0.333721489,CDC14A
CARMIL1,-1.270702839,CDC14A
HP1BP3,-0.544730186,CDC14A
AFDN,-1.140679836,CDC14A
CBX1,-0.434947699,CDC14A
CDK5RAP3,-0.492144883,CDC14A
TADA2A,-1.026230335,CDC14A
PTPN2,-0.8647089,CDC14A
TM4SF20,-0.299815834,CDC14A
RGS14,-0.649390042,CDC14A
MAP3K1,-0.735884845,CDC14A
AGPAT2,-1.034894228,CDC14A
IPO8,-0.97650516,CDC14A
KLF5,-0.450039119,CDC14A
SMARCA5,-0.9512766,CDC14A
CCT3,-0.3079997,ATF6
ATF6B,-0.815665066,ATF6
SNCG,-0.588650048,ATF6
AFDN,-0.882156312,ATF6
MUC13,-0.254596502,ATF6
ATF6,-0.387193561,ATF6
ABLIM3,-0.467764705,ATF6
FBXO2,-0.372957259,ATF6
ZNF274,0.561029077,ATF6
GRIN2C,-0.408464402,ATF6
MTOR,-0.48487258,ATF6
TRMT2B,0.412805885,ATF6
LITAF,0.289847612,ATF6
BAZ2A,-0.535090208,ATF6
ELP4,-0.507943809,ATF6
MAML1,-0.498920292,ATF6
TAC3,-0.478022873,ATF6
COG7,0.467498958,ATF6
COL2A1,-0.439772934,ATF6
MATN1,-0.526791036,ATF6
MERTK,-1.254823208,C6
FNDC3A,-1.287088394,C6
TRIM5,-0.867675126,C6
CARMIL1,-1.253044248,C6
NET1,-0.380867302,C6
CPSF4,0.393115073,C6
PTPRK,0.568340838,C6
MBIP,-0.958790362,C6
ATP1B3,-0.775092483,C6
UBR5,-0.873410225,C6
SMARCA5,-1.262237072,C6
HPR,-0.995258629,C6
CORO1A,0.768591225,C6
SEC23A,-0.389281899,C6
RCN2,-0.960573912,C6
ABCG5,-0.919639587,C6
RDX,-0.576594353,C6
IFT81,-0.56560874,C6
MX2,-0.732074022,C6
HSPD1,-0.333624393,C6
MGAT1,-0.622003973,CA12
MUC13,-0.281255752,CA12
DDIT4,-0.285987675,CA12
LRP10,-0.415936053,CA12
PTPRR,-0.795842826,CA12
YIPF3,-0.710219383,CA12
TRA2B,0.419656247,CA12
TMBIM1,-0.339254141,CA12
SIL1,-0.524875164,CA12
STN1,-0.378639162,CA12
CORO1B,-0.634252012,CA12
PML,-1.114183187,CA12
INF2,-0.525811732,CA12
ANKLE2,-0.394614518,CA12
CIB2,-0.451764226,CA12
EFNA1,-0.384413362,CA12
ADGRE5,-0.624224901,CA12
SMYD3,0.238867164,CA12
SNCG,-0.666554809,CA12
ATF6B,-0.872057259,CA12
MERTK,-0.998747647,CCND2
TRIM5,-0.827387631,CCND2
PTPRK,0.557662725,CCND2
NET1,-0.36535567,CCND2
F2R,-0.707880437,CCND2
SMARCA5,-1.186349154,CCND2
F13A1,-2.366653919,CCND2
NDP,-0.505906105,CCND2
TSPAN5,-0.601969898,CCND2
MBIP,-0.951614857,CCND2
TCF4,-0.476469517,CCND2
GAA,-0.441538244,CCND2
SPRR1A,-0.475004882,CCND2
TTR,-0.943648756,CCND2
APOC3,-0.678322136,CCND2
ARMT1,-0.833029449,CCND2
EIF3E,-0.666330636,CCND2
PAF1,-0.90840292,CCND2
GID8,-0.52010107,CCND2
PTPN2,-0.930848956,CCND2
VSTM4,-0.656538963,FAS
B4GAT1,-0.758396506,FAS
PIGC,-0.362654537,FAS
COX5A,-0.309903711,FAS
CLK2,-0.580249488,FAS
FRAT2,-0.417166948,FAS
TNFRSF1B,-0.425469935,FAS
MPI,-0.612249494,FAS
TBCD,-0.507336438,FAS
ATP5IF1,-0.350599736,FAS
ATXN2,-0.468592465,FAS
SERF2,-0.608795047,FAS
CEMIP2,-0.189850405,FAS
INTS7,-0.334405005,FAS
TADA2A,-0.824288964,FAS
SENP2,-0.72662133,FAS
CST4,-0.204537868,FAS
PHB,-0.233468696,FAS
CRADD,-0.44832924,FAS
FRMD8,-0.601576209,FAS
CARMIL1,-1.250610471,CHD7
CBX1,-0.514687717,CHD7
COL1A1,-0.608502448,CHD7
HS6ST1,-1.193258882,CHD7
MAP3K1,-0.841775596,CHD7
FRAT2,-0.485215813,CHD7
SCAMP1,-1.019629955,CHD7
TM4SF20,-0.316770613,CHD7
