names,logfoldchanges,condition
FOSL1,0.324676633,ACTN4
GOT1,0.604438841,ACTN4
TIMM44,0.257476836,ACTN4
GNE,0.29589662,ACTN4
KCTD13,0.3743141,ACTN4
ASCC2,0.365121961,ACTN4
TINF2,0.399222165,ACTN4
LHPP,0.425204039,ACTN4
CREB5,0.29483524,ACTN4
DPM3,0.42503038,ACTN4
KDM6B,0.457251698,ACTN4
WBP2,0.423375666,ACTN4
UNG,-0.414201558,ACTN4
KAT8,0.251612842,ACTN4
RABGGTA,0.210721418,ACTN4
RAB11FIP1,-0.746410668,ACTN4
SCGB1D1,0.399665982,ACTN4
TLN1,0.441049516,ACTN4
ZBTB22,0.338764131,ACTN4
SRPK3,0.527721405,ACTN4
LETMD1,0.426304162,NOS2
SOX18,-0.617493927,NOS2
ADPGK,0.328141302,NOS2
LMBR1L,0.394467205,NOS2
DCAF13,0.616859913,NOS2
PXN,0.266642243,NOS2
STAG3,0.561146379,NOS2
PSMA7,-0.2478185,NOS2
GTF2H3,0.343097746,NOS2
PKP3,0.135491222,NOS2
CNOT2,0.177200004,NOS2
POLR1B,0.473412901,NOS2
ATP6V1H,-0.671152592,NOS2
EDEM1,0.328207701,NOS2
SREK1IP1,0.38010031,NOS2
CHMP2B,-0.396026194,NOS2
TMEM176A,0.421756804,NOS2
EPN2,0.308971763,NOS2
YBX3,0.254407674,NOS2
NOP53,0.245038003,NOS2
FOXO3,0.49873358,DYRK1B
PHIP,0.324556321,DYRK1B
SNU13,-0.717248619,DYRK1B
PPIB,0.313327938,DYRK1B
TP53BP1,0.205452368,DYRK1B
PAPPA2,0.393574744,DYRK1B
FUT1,0.397769392,DYRK1B
SMAD3,-0.385938615,DYRK1B
ATXN7,0.283182591,DYRK1B
PIK3C2B,0.102383219,DYRK1B
SATB2,0.20851329,DYRK1B
TP53,0.265508115,DYRK1B
DNAJC3,0.322708577,DYRK1B
ATF3,0.14779605,DYRK1B
TNFRSF4,-0.568341553,DYRK1B
REPS1,0.257762134,DYRK1B
CAMK2B,0.390669048,DYRK1B
ETV6,0.300786734,DYRK1B
DCTPP1,-0.332032949,DYRK1B
IL3RA,-0.849103689,DYRK1B
ZNF550,-0.86315006,BCL3
FOXI1,-0.561325192,BCL3
EDNRA,-0.71288681,BCL3
CCT8,-0.667366505,BCL3
HLF,-0.474803805,BCL3
DFFB,-0.567205667,BCL3
COL7A1,-0.794821858,BCL3
TSHR,-0.504049778,BCL3
DNMT3L,-0.866516113,BCL3
PYCR3,-0.548069894,BCL3
PODXL,-0.340617418,BCL3
SOX18,-0.64096117,BCL3
GABRA3,-0.978829086,BCL3
ABHD10,-0.291825801,BCL3
CCDC85B,-0.52283138,BCL3
ARHGDIB,-0.344379157,BCL3
CLEC7A,-0.317670554,BCL3
DMD,-0.292258531,BCL3
CD1D,-0.824253976,BCL3
RFC3,-0.310632885,BCL3
DLG4,0.489682078,ITK
ARHGEF1,0.516566455,ITK
PTGFR,0.501999557,ITK
SCN4A,0.584407091,ITK
MYOZ1,0.448717088,ITK
MAFF,0.421747267,ITK
GSTA4,-0.666244626,ITK
GYPC,0.454320699,ITK
ROPN1B,0.35337159,ITK
ITGB1BP2,0.459042013,ITK
NES,0.338350505,ITK
DAB2,-0.341201365,ITK
ACTC1,0.318655699,ITK
MYOM1,0.639489174,ITK
ACTR1B,0.364816457,ITK
CBX4,0.502369404,ITK
PCBP3,0.361184955,ITK
EN1,0.382432997,ITK
HRC,0.340512604,ITK
CDX1,0.345503986,ITK
PIR,-0.556887686,S1PR1
DCK,-0.487864077,S1PR1
MBIP,-0.404496521,S1PR1
TBPL1,-0.332496524,S1PR1
VDAC3,-0.417269319,S1PR1
MAGEC2,-0.657812834,S1PR1
RUSC2,0.446926445,S1PR1
APOBEC3A,-0.953535557,S1PR1
HBEGF,0.387074232,S1PR1
CPSF4,0.195321724,S1PR1
POLR2D,-0.313851506,S1PR1
UBE2D1,-0.477052599,S1PR1
DHRS11,-0.46308589,S1PR1
APOC3,-0.845515251,S1PR1
NEIL3,-1.032471538,S1PR1
PRCP,-0.457524598,S1PR1
ETNPPL,-0.909890652,S1PR1
SMARCA5,-0.57361114,S1PR1
CENPC,-0.559234262,S1PR1
SETMAR,-0.487074822,S1PR1
DCTPP1,-0.320294261,ADRB3
PPIB,0.336768061,ADRB3
LSM3,-0.48555553,ADRB3
SORBS2,0.270417422,ADRB3
EDEM1,0.329771727,ADRB3
GDE1,-0.34457773,ADRB3
ADPGK,0.311028779,ADRB3
MPP1,-0.428382367,ADRB3
PAK3,0.431268066,ADRB3
ID3,-0.301262498,ADRB3
SMAD3,-0.362672567,ADRB3
TRIB2,0.179148391,ADRB3
HDAC2,-0.172819048,ADRB3
PSTPIP1,-0.734781742,ADRB3
YBX3,0.23896648,ADRB3
TMEM33,-0.324371427,ADRB3
IRGQ,0.36445415,ADRB3
PRKAG2,-0.238819152,ADRB3
PRLR,-0.726798773,ADRB3
ACIN1,0.330527127,ADRB3
HBEGF,0.46019277,GRM3
PUM1,0.220202699,GRM3
MEGF8,0.399183661,GRM3
ZFP36,0.335644126,GRM3
LHPP,0.435785055,GRM3
CSF2,0.383195728,GRM3
KIF4A,-0.447105348,GRM3
KIF18B,-0.664840221,GRM3
TRIM38,-0.463176668,GRM3
ATXN2L,0.5877527,GRM3
CBX3,-0.302196294,GRM3
SETMAR,-0.556618512,GRM3
LSM3,-0.481671035,GRM3
IL13RA1,-0.312105685,GRM3
HMGN5,-0.436920285,GRM3
CCT8,-0.625281036,GRM3
APOBEC3A,-0.868234456,GRM3
PRR5,-0.324223518,GRM3
FADS2,-0.889931619,GRM3
ELAVL4,0.483585626,GRM3
SETD2,-0.438898355,ARL6IP4
PARD3,-0.374268383,ARL6IP4
ATF6B,-0.56366539,ARL6IP4
RNASEL,-1.654241085,ARL6IP4
ECHDC2,-0.455399215,ARL6IP4
CENPO,-0.650251269,ARL6IP4
TLR6,-0.783315539,ARL6IP4
GGA2,-0.482204199,ARL6IP4
GRHL2,-0.298725277,ARL6IP4
BMPR2,-0.437765658,ARL6IP4
RPS6KB1,-0.541201413,ARL6IP4
HS6ST1,-0.727571666,ARL6IP4
DNMT3L,-0.739762247,ARL6IP4
RBBP9,-0.609809816,ARL6IP4
FAM120C,-0.712105632,ARL6IP4
MAFK,-0.395247757,ARL6IP4
UTRN,-0.467985064,ARL6IP4
VANGL1,-0.366878241,ARL6IP4
RRM1,-0.427407205,ARL6IP4
CCDC88C,-0.421971202,ARL6IP4
KANSL3,-1.025446415,ATAD2
CCDC170,-0.458505929,ATAD2
SHH,-0.525014341,ATAD2
APPL2,-0.339145154,ATAD2
BMPR2,-0.471739382,ATAD2
ZNF550,-0.765206337,ATAD2
ASH1L,-0.914149284,ATAD2
VCPIP1,-0.837165058,ATAD2
ATXN7L1,-1.042980433,ATAD2
TLR6,-0.741721451,ATAD2
EPOR,-0.450239509,ATAD2
RFXAP,-0.460241884,ATAD2
DUOX1,-0.604100287,ATAD2
RRP1B,-0.302506566,ATAD2
CDKN2AIP,-0.396320134,ATAD2
HDGFL3,-0.452238888,ATAD2
UTRN,-0.529176176,ATAD2
NREP,-0.442542464,ATAD2
ASIP,-0.530270398,ATAD2
FNTB,-0.383801818,ATAD2
FBLN1,-0.675574124,OPRK1
NDC80,-0.47180742,OPRK1
PHF10,-0.340057611,OPRK1
FADS2,-0.961774945,OPRK1
GPSM3,0.404468775,OPRK1
CDC25C,-0.416708082,OPRK1
TSPAN31,0.206462204,OPRK1
PPME1,-0.470737636,OPRK1
AURKB,-0.442301154,OPRK1
FASN,-1.114639878,OPRK1
PAX6,-0.57972753,OPRK1
PRMT7,-0.673009098,OPRK1
AGPAT2,-0.699744821,OPRK1
RAC1,-0.512020111,OPRK1
GLO1,-0.568830252,OPRK1
PARP1,-0.290228188,OPRK1
UST,-0.912297249,OPRK1
OSR2,-0.583445311,OPRK1
ZBTB38,0.331461877,OPRK1
SETMAR,-0.481950849,OPRK1
NADK,-0.811092556,SLC6A1
ZBTB14,-0.144242212,SLC6A1
VEZT,0.455624789,SLC6A1
GYG2,-0.438811004,SLC6A1
LZTFL1,-0.670370221,SLC6A1
ARID5B,-0.4839679,SLC6A1
PEX11A,-0.372281849,SLC6A1
ASB8,0.286101818,SLC6A1
HNRNPM,-0.328956038,SLC6A1
ORC6,-0.415249258,SLC6A1
UTP3,-0.394464761,SLC6A1
ZNF91,0.226135477,SLC6A1
RALBP1,-0.541645169,SLC6A1
NDUFA9,0.254260063,SLC6A1
CARD8,-0.426398873,SLC6A1
NGLY1,-0.335199445,SLC6A1
ARMCX1,0.330668658,SLC6A1
FASN,-1.041787267,SLC6A1
VPS35L,0.29758954,SLC6A1
BRCA1,-0.702886641,SLC6A1
WDR59,0.332580835,ALOX12
BAZ2A,0.521053314,ALOX12
BRD2,0.320553184,ALOX12
CRYZ,-0.278059781,ALOX12
ZNF263,0.125200644,ALOX12
ATP6V0A1,0.521566927,ALOX12
IRGQ,0.389544398,ALOX12
DSTN,-0.308268994,ALOX12
RING1,0.378638685,ALOX12
TMEM33,-0.355247259,ALOX12
CBX3,-0.28960067,ALOX12
CALCOCO1,0.451011568,ALOX12
HNRNPA0,-0.366994083,ALOX12
MAT2B,-0.612806559,ALOX12
CYB5B,-0.416471541,ALOX12
NEUROG1,-1.132769823,ALOX12
SIN3B,0.266968012,ALOX12
SHMT2,0.54135263,ALOX12
GALK2,0.29526341,ALOX12
UMPS,-0.335941315,ALOX12
PAK3,0.48796913,ALOX5AP
PFKM,0.443652779,ALOX5AP
CDK19,0.560169876,ALOX5AP
PPIB,0.330374062,ALOX5AP
KIAA0319L,0.47941792,ALOX5AP
PAXIP1,-0.426590294,ALOX5AP
SUPT3H,0.197716489,ALOX5AP
TCEA2,0.259611428,ALOX5AP
SHMT2,0.55911541,ALOX5AP
TH,0.355357677,ALOX5AP
PIK3C2B,0.101870187,ALOX5AP
