names,logfoldchanges,condition
CUL1,-0.400193274,LIPF
NCBP1,-0.305365711,LIPF
PPID,-0.226430669,LIPF
RIF1,-0.28652066,LIPF
RBMS1,-0.294963747,LIPF
NUDT9,-0.152777582,LIPF
FASTKD2,-0.235622317,LIPF
DSTN,-0.239562303,LIPF
ANXA3,-0.137817055,LIPF
CPT2,0.280143917,LIPF
YAP1,-0.237227246,LIPF
CDH10,0.333630502,LIPF
HSPH1,-0.239350587,LIPF
DSG2,-0.145762414,LIPF
DLD,-0.131046116,LIPF
NUP88,-0.069890425,LIPF
BAZ1B,-0.315918326,LIPF
URI1,-0.238524318,LIPF
HNRNPK,-0.227104977,LIPF
SMARCA5,-0.42994675,LIPF
TNFRSF21,-0.081975967,TACR2
NFE2L2,-0.179765642,TACR2
RRAD,-0.275389671,TACR2
SMC3,-0.237347469,TACR2
BAG3,-0.119611077,TACR2
KCNA4,0.398730338,TACR2
UBQLN2,-0.279313505,TACR2
MCOLN1,0.252091527,TACR2
TYRP1,0.251321584,TACR2
HSPA1A,-0.250521153,TACR2
LARP7,-0.269985646,TACR2
SEC61B,0.152811915,TACR2
MLANA,0.272996128,TACR2
RAB11FIP2,-0.193842694,TACR2
UBA2,-0.296136349,TACR2
SEC24B,-0.160447508,TACR2
RAB28,-0.378890753,TACR2
RPL12,0.222608864,TACR2
PDZD2,-0.178913027,TACR2
IL6,-0.17236726,TACR2
NDST2,0.439746678,PIM1
DRICH1,0.521931827,PIM1
ITGA8,0.358142108,PIM1
ZNF221,0.475373358,PIM1
PLA2G2E,0.415801346,PIM1
CEACAM3,0.653070271,PIM1
CLDN14,0.409295052,PIM1
XCR1,0.511187673,PIM1
PRDM11,0.460303843,PIM1
MC3R,0.549808085,PIM1
ASIC2,0.669951141,PIM1
DAB1,0.610678613,PIM1
MAML3,0.529770374,PIM1
CHRM4,0.473245591,PIM1
PPP1R3C,0.183226407,PIM1
GRIK4,0.472544372,PIM1
SLC2A4,0.493354589,PIM1
BLK,0.382699102,PIM1
SHC3,0.32614702,PIM1
PRKCE,0.473947376,PIM1
HSD17B10,-0.368918806,HSD17B10
DCAF1,0.380423278,HSD17B10
ZNF675,0.336914927,HSD17B10
MAN2C1,0.312670052,HSD17B10
RAPGEF4,0.214668438,HSD17B10
OTOF,0.217314631,HSD17B10
ZNF767P,0.198574737,HSD17B10
ALDH1B1,0.205613256,HSD17B10
GABBR1,0.29629609,HSD17B10
MRPS18C,0.314793706,HSD17B10
CFAP44,0.242523566,HSD17B10
MZF1,0.312425971,HSD17B10
MAPK8IP2,0.220272571,HSD17B10
ZNF471,0.324251056,HSD17B10
SLC14A1,0.301590085,HSD17B10
EPPIN,0.276263803,HSD17B10
CDKL1,0.267934859,HSD17B10
KLF8,0.264634579,HSD17B10
SLC6A9,0.245948404,HSD17B10
RPE65,0.22289075,HSD17B10
TOMM34,-0.275390595,BCL2L1
RNF24,-0.397221953,BCL2L1
FHL2,-0.132544413,BCL2L1
OXR1,-0.292466134,BCL2L1
LSM5,-0.149969697,BCL2L1
TMEM248,-0.240750879,BCL2L1
PIGA,-0.356872588,BCL2L1
ACP6,0.285541385,BCL2L1
MYO7A,0.334412128,BCL2L1
RTN4,-0.291015923,BCL2L1
RAC2,0.084309176,BCL2L1
DYNC1LI1,-0.247492582,BCL2L1
DCAF17,-0.248824447,BCL2L1
NOP53,0.261642843,BCL2L1
PTP4A1,-0.279625654,BCL2L1
EPHB2,0.247200862,BCL2L1
TXNDC9,-0.070103802,BCL2L1
PLIN2,-0.764051855,BCL2L1
SNRPB2,-0.218350276,BCL2L1
SERPINF1,-0.519380689,BCL2L1
PLCB3,0.225860745,NFKB1
BNIP3L,-0.242753103,NFKB1
GOLGA7,-0.340522021,NFKB1
DERA,-0.100995928,NFKB1
PIGA,-0.421665579,NFKB1
UBQLN2,-0.305399179,NFKB1
OXA1L,-0.091081411,NFKB1
LSM5,-0.124217875,NFKB1
RAB4A,-0.403299779,NFKB1
NDC1,-0.303395838,NFKB1
HSPD1,-0.183894217,NFKB1
MED6,-0.178072378,NFKB1
BDH1,-0.318166614,NFKB1
MAX,-0.179193556,NFKB1
PPID,-0.252237111,NFKB1
TTPAL,-0.359277964,NFKB1
ARL3,-0.361186445,NFKB1
GDE1,-0.233002871,NFKB1
CRK,-0.313739032,NFKB1
EAPP,-0.306550771,NFKB1
SDHA,0.318092525,IFNA14
ADGRB2,0.514988244,IFNA14
QDPR,-0.425309926,IFNA14
RBMY2FP,0.52256918,IFNA14
NPHP1,0.455491841,IFNA14
ZBTB3,0.493918121,IFNA14
MICAL3,0.363931566,IFNA14
SYN3,0.522416592,IFNA14
RRAGA,-1.202136636,IFNA14
MGAT3,0.344082952,IFNA14
UNC5C,0.649746537,IFNA14
MYO9B,0.403076917,IFNA14
GPR50,0.528194249,IFNA14
RBM6,0.21439074,IFNA14
MAS1,0.650179267,IFNA14
SLC22A14,0.486269623,IFNA14
NLRP3,0.313789219,IFNA14
DRD1,0.501499772,IFNA14
CD200,0.297228634,IFNA14
GOLGA6A,0.535571039,IFNA14
