names,logfoldchanges
PRDM16,0.651179194
FHL2,-0.147788674
MRPL11,0.301420301
RIMS1,0.444245368
FARS2,0.251796246
FKBPL,0.379652709
LSM2,0.232187122
ADRB1,0.470077604
WNT1,0.523655415
ZSCAN12,0.235094264
RBPJL,0.491436779
TRIM46,0.641859174
QTRT2,-0.490897238
RAE1,0.13425222
KCNC4,0.370356113
PCF11,-0.421100914
MC3R,0.545707643
ZBP1,0.493262649
GTPBP8,0.154028416
CXXC4,0.471706033
ITGAE,-0.132258698
LONP2,0.204528496
SUGP2,0.292106152
PPFIA1,0.313366443
PKIA,-0.209091887
ROPN1B,0.170334548
HLA-DRA,-0.255380392
NREP,-0.157523558
CHD4,0.361021668
XPNPEP3,0.33606869
BEST1,0.310577959
ARHGEF15,-0.620369077
VBP1,-0.219326481
BNIP3,-0.114169434
BIRC5,-0.140722483
IL1RAPL1,0.224800274
FOXO3,0.304106355
GEMIN2,-0.413229465
BRD2,0.268988132
LY6G6D,-0.498116076
AEBP1,0.483199209
RNASEH2A,-0.361134887
SNX17,-0.264992952
CENPA,-0.33498764
DGKI,0.318926841
TMEM106C,-0.471631855
PCID2,-0.355128765
CCT7,-0.155143574
MPI,-0.337270051
CRADD,-0.296381116
B4GAT1,-0.46743086
POLR2G,-0.249320254
RWDD2A,-0.222978652
ATP5PO,-0.493834078
WRAP73,-0.682312608
HAUS4,-0.264828861
CHP1,0.262924761
BIRC5,-0.139347121
PSME1,-0.250583321
MS4A2,0.465356022
ETFB,-0.477791607
PTPN9,0.189300254
ADGRB3,0.258968532
CHM,0.350024521
SCARB1,-0.262392968
HTR1E,0.377705753
KLHDC4,-0.402288198
ZNF484,0.48167029
NR2E1,0.290434629
DERA,-0.085510202
KRI1,-0.321894705
ADGRE5,-0.576647222
HSPA1A,-0.457180142
SP4,0.307421774
DDX54,-0.309043288
MAD1L1,-0.248431519
ADAMTSL3,0.348862886
CACNA1A,-0.18242535
MGLL,-0.24849765
SNRPD3,-0.173226178
FBXO3,-0.32227248
GABARAPL2,-0.439345062
MAT2B,-0.417885661
VAT1,0.249957949
PSMA6,-0.298833966
GIN1,-0.547843039
CIRBP,-0.385051697
TXNDC9,-0.099467911
EAPP,-0.407831937
MRPL20,-0.28421703
SAR1B,-0.629999697
ALG5,-0.376972467
SDC2,-0.372489423
ABL1,0.128234521
PARPBP,-0.429132819
DCXR,-0.368069291
RARA,-0.480436295
FAM162A,-0.38032943
RUVBL1,-0.217455253
MAVS,0.23714453
ZNF274,0.134883597
PTGER2,-0.275360256
SDC4,-0.450493366
MYBL2,-0.525313616
DERA,-0.094955117
RXRA,0.223653555
WDTC1,0.206447393
ABL1,0.123728991
SCARB1,-0.252597898
