names,logfoldchanges,condition
PSME2,0.182897717,CCL7
CRYZL1,-1.333368421,CCL7
EMSY,-0.808514297,CCL7
EIPR1,0.306598216,CCL7
MMRN2,-0.706037402,CCL7
TWSG1,-0.762689829,CCL7
UNKL,-0.855769992,CCL7
MAGEA11,-0.59140408,CCL7
CTSZ,-0.746396124,CCL7
FBXW11,-0.518662035,CCL7
CD93,-0.611204505,CCL7
PGAP3,0.307082742,CCL7
RAB11FIP1,-3.372028828,CCL7
SIK2,-0.636942148,CCL7
DSTN,-0.517940879,CCL7
UBE2W,-0.695151389,CCL7
YAP1,-0.549379826,CCL7
TGFB2,-0.861170828,CCL7
OLFML2B,-4.708805084,CCL7
NET1,-0.282023996,CCL7
DUOX1,-0.626086175,DLG2
BCL2L11,-0.835545123,DLG2
MXD1,-0.636743903,DLG2
DNAJC3,-0.757226706,DLG2
DSG1,-0.423732728,DLG2
CRYZL1,-1.433820844,DLG2
COL6A3,-0.734944999,DLG2
ATP7A,-0.682853341,DLG2
CISD1,-0.395482838,DLG2
R3HCC1,0.415525466,DLG2
TCP11L1,-0.925121248,DLG2
PDE5A,-0.630452394,DLG2
PRMT1,0.276317835,DLG2
RXRG,-0.504166365,DLG2
HP1BP3,-0.529376388,DLG2
LTBP1,-1.133411169,DLG2
CCL1,-0.680998564,DLG2
COL5A2,-0.596396565,DLG2
LAMA4,-0.548389792,DLG2
NSD3,-1.118885994,DLG2
STMN4,0.533458054,CACNA1A
MVB12B,0.5177719,CACNA1A
KCNIP1,0.361246288,CACNA1A
CLCN5,0.576363146,CACNA1A
GAS7,0.659606636,CACNA1A
CISD1,-0.339003175,CACNA1A
ASL,-0.357772529,CACNA1A
KCND2,0.460815609,CACNA1A
ENOX1,0.384355485,CACNA1A
ABLIM3,-0.68881464,CACNA1A
SIRT3,-0.313367575,CACNA1A
AKR1B10,-0.420097321,CACNA1A
TALDO1,-0.429186255,CACNA1A
ZNF32,0.394642889,CACNA1A
TCF4,-0.380580842,CACNA1A
TMEM259,-0.563598931,CACNA1A
THEM6,-0.360228896,CACNA1A
GSDMD,-0.510485232,CACNA1A
GHR,0.427832007,CACNA1A
ARF6,0.340252846,CACNA1A
PAF1,-1.014300585,TACR3
AGPAT2,-0.907480836,TACR3
URB2,0.395250529,TACR3
CIDEC,-1.013823509,TACR3
TTR,-0.634176731,TACR3
RUVBL1,-0.313816428,TACR3
S1PR4,-0.555531859,TACR3
APOC3,-0.811985314,TACR3
MYBL2,-0.556378365,TACR3
GNB2,-0.532955945,TACR3
PRB3,-0.555078089,TACR3
PFKL,-0.6524086,TACR3
STAP2,-0.436545521,TACR3
CNN2,-0.492726088,TACR3
UNC93B1,-0.72661227,TACR3
RAB11FIP1,-3.694855213,TACR3
TJP3,-0.372113734,TACR3
LIPE,-0.47331211,TACR3
EFNA4,-0.63517338,TACR3
U2AF1,-0.411981076,TACR3
AMDHD2,-1.039694548,ADRA2B
DBP,-0.591505051,ADRA2B
MYBL2,-0.555848897,ADRA2B
TMPRSS11D,-0.889768362,ADRA2B
PAF1,-0.971458435,ADRA2B
AGPAT2,-0.883179843,ADRA2B
U2AF1,-0.471470147,ADRA2B
TTR,-0.674087524,ADRA2B
UNC93B1,-0.782674551,ADRA2B
NSMF,-0.717906356,ADRA2B
HSPB1,-0.979454577,ADRA2B
SLC29A1,-0.866947353,ADRA2B
WT1,0.316963673,ADRA2B
PFKL,-0.696649015,ADRA2B
ETFB,-0.243763909,ADRA2B
TYMP,-0.443905056,ADRA2B
LHPP,0.432029277,ADRA2B
PTGES2,-0.64757359,ADRA2B
TSEN34,-0.320039243,ADRA2B
ABR,-0.80663377,ADRA2B
MERTK,-0.700565755,CD99
DIO2,-1.095293283,CD99
BLCAP,0.202624515,CD99
CARMIL1,-1.04767108,CD99
VRK3,0.300519884,CD99
LONP1,0.254647493,CD99
IDH3B,0.282989413,CD99
KHSRP,0.283733964,CD99
RPL10,0.282553166,CD99
ABHD5,-0.852942288,CD99
CAT,-0.387528151,CD99
PAPSS1,-0.570399642,CD99
DSTN,-0.533508122,CD99
PAFAH1B3,0.126929939,CD99
GLRX,-0.293040901,CD99
DUOX1,-0.447438866,CD99
YAP1,-0.676318288,CD99
BBS7,-0.525222778,CD99
IL1RL1,-0.50820291,CD99
DNAJC3,-0.630305171,CD99
AMT,0.592042267,ACE
GPX1,-0.256275475,ACE
SLC12A1,0.358502597,ACE
CD28,0.614989102,ACE
UMOD,0.28991273,ACE
LCP1,0.39881286,ACE
ELN,-0.410307497,ACE
CLDN8,0.400825769,ACE
COQ8A,-0.499572515,ACE
AKR1C1,-0.402015865,ACE
KCNJ1,0.495011836,ACE
TCF21,0.358554333,ACE
VWF,-0.633103549,ACE
PCGF3,-0.532410324,ACE
BCL2A1,0.718506157,ACE
ARSB,0.482829779,ACE
TALDO1,-0.427951127,ACE
AKR1C2,-0.556919456,ACE
ZNF32,0.415876031,ACE
LGALS2,0.298234284,ACE
DNAJC3,-0.801759124,CD6
PAPSS1,-0.625645697,CD6
ANKRD12,-0.626352131,CD6
KLHL24,-0.886013389,CD6
VRK3,0.288052082,CD6
RPL10,0.297527075,CD6
IDH3B,0.288227946,CD6
CAT,-0.392605096,CD6
YAP1,-0.702882588,CD6
CARMIL1,-1.135500193,CD6
GLRX,-0.372957647,CD6
CCR10,0.404201329,CD6
CBX1,-0.395089537,CD6
CSNK1A1,-0.800399303,CD6
DIO2,-0.795885623,CD6
AKAP13,-0.873394787,CD6
SOX4,-0.701542377,CD6
NET1,-0.362424225,CD6
TWSG1,-0.744435966,CD6
RHEB,-0.094404325,CD6
DSC2,-0.406754106,CTNNBIP1
RSF1,-0.660859585,CTNNBIP1
IDH3A,-0.434361696,CTNNBIP1
KLF8,-0.798733532,CTNNBIP1
GPR1,-0.622418284,CTNNBIP1
ANKRD12,-0.746825099,CTNNBIP1
GPALPP1,-0.579716921,CTNNBIP1
DUOX1,-0.605796576,CTNNBIP1
