names,logfoldchanges
AGPAT2,-1.623201966
HMOX1,-1.165095806
PTPN2,-1.047307014
ITGA4,0.689765751
SLC2A8,-0.747736692
GSDMD,-1.564372063
GNAI2,-0.9826805
STAT3,-0.48473087
UNC93B1,-1.241248131
HIVEP2,-0.803574324
DPM2,-0.784615159
LTBP3,-0.584639907
POR,-0.944738209
ELF1,-0.566663802
PFKL,-0.881110013
GAA,-0.446298599
ALS2CL,-0.818034589
P2RY6,-0.867928386
CIDEC,-0.899256825
PDIA5,-0.385747254
SLC29A1,-1.072634101
CYTH3,-1.456260204
BOP1,-0.716225505
AGPAT2,-1.445479393
PTGES2,-0.940283597
NEUROG1,-1.829182386
INPP5J,-0.965335786
LCN1,-1.35744679
GSDMD,-1.332747102
TTR,-1.017152905
ASPSCR1,-0.785487175
POR,-0.862528563
MX2,-0.898847699
RGS14,-1.364683151
SBF1,-1.294505835
MAPK8IP2,-0.870850027
LMX1B,-1.069835544
MDFI,-0.919196427
ZC3H3,-0.987257361
ATP2A3,-0.3436445
AKAP13,-1.33291018
HERPUD1,-0.519816279
KLF5,-0.712332368
NET1,-0.367233455
LSM14B,-0.575156033
HNRNPA0,-0.471913874
ETV4,-0.552165568
OSBPL2,-0.647672892
PRB3,-0.856741071
POU3F3,-1.110938311
SRGAP2,-0.628745019
RAI1,-0.69133395
HMOX1,-0.940246701
CDK10,-0.941117585
CUEDC1,-0.454591334
PF4,-0.537504375
CENPO,-1.018675923
MPPED1,-0.992636979
APBB3,-0.604333699
FRAT1,-0.706856668
ABR,-1.12925005
TYMP,-0.724461436
NEUROG1,-1.774982452
SBF1,-1.371555328
TMEM259,-1.106349111
TCF3,-0.706328034
SMARCA5,-0.841564715
ANKLE2,-0.703137696
IL1R1,-0.616313934
LRP8,-0.792426705
LAMB3,-1.048464179
EHBP1L1,-0.886865437
ADAM15,-0.851229191
SCARB1,-0.559431434
OXT,-1.215574861
FZD8,-0.811163485
ALPP,-0.883375943
GPX2,-0.420540273
TRABD,-0.922705889
SNCB,-0.793547928
EVPL,-0.65533042
OXT,-1.279163957
KMT5A,-0.730861783
PRB3,-0.955232561
SPRR1A,-0.64654237
PDGFB,-1.109055161
THEM6,-0.470968902
GNAI2,-0.91818583
TRPV4,-1.470827103
ADAM15,-0.931456327
MAPK4,-1.220225453
SAMD4B,-1.082093
THRAP3,-0.940624535
BMP3,-1.034370184
LMX1B,-1.088213205
PPP1R13L,-0.703569949
EPPK1,-0.623452783
PAF1,-1.218511939
MAP4K2,-1.192724228
EVL,-0.562803447
GPC1,-0.772129297
PAF1,-1.280965567
ADAM15,-0.924601555
EVPL,-0.646842301
PDLIM7,-0.955763161
FBXL6,-0.873108923
AKAP8L,-0.626251221
CST6,-0.983920097
OSBPL2,-0.679599285
ACTN4,-0.616743982
GPX4,-0.758463383
GNAI2,-0.843523085
EGFL7,-0.656035125
COL10A1,-1.041741014
PDGFB,-0.983865738
PROC,-1.232490778
RRP1,-1.283563614
VTN,-0.776816964
CSK,-0.701646149
SCARB1,-0.540732861
PRB1,-1.033107519
TRPV4,-1.478286743
GSDMD,-1.345665097
ITGA4,0.666549444
PRB4,-0.73837769
HMOX1,-1.059638619
PRB3,-0.885096133
LRFN4,-0.946085989
LAMB3,-0.989614189
S1PR4,-0.890280306
OXT,-1.175606608
SPOUT1,-0.800373197
TCP11L1,-0.833881199
POMT2,-0.920687318
GAA,-0.433665931
SOX4,-0.446642876
APBA1,-1.202555299
LCN1,-1.22185421
LRCH4,-1.167647481
ATP1A3,-0.895261943
PPP2R3B,-1.480694771
SLC29A1,-1.037642002
ANKLE2,-0.703040183
EGFL7,-0.713907301
ULK1,-0.797277749
PRPF31,-1.202733994
SBF1,-1.38424027
DSC2,-0.679508626
PLXNB1,-0.86770016
HS6ST1,-0.94740051
XRCC1,-1.205895305
THRAP3,-0.904892683
AFDN,-0.792753994
CDK10,-0.94905895
NDUFA4L2,-0.553360403
FANCA,-0.874819875
NEUROG1,-1.640498996
SPOUT1,-0.733976007
SCARB1,-0.550361872
BOP1,-0.629100323
GAA,-0.46552828
OLFML2B,-2.268379688
COL5A1,-0.617587745
IBSP,-0.73557055
TFPI2,0.437683344
IFT20,-0.608484089
PAPSS1,-0.671782553
F13A1,-1.435974121
MX2,-0.663537502
PTPN2,-0.81294632
MPC2,-0.494372547
FBN1,-0.768732727
COL6A3,-1.010977745
TFF2,-0.61942631
RCN3,-1.173771977
GSN,-0.449803621
COMP,-3.288656235
PRB3,-0.744529426
POU2F2,-1.166710496
DCUN1D2,-1.021078229
TYMP,-0.68800354
CDK10,-1.02537024
FLNA,-0.491162688
EHBP1L1,-0.887614787
AGPAT2,-1.384640574
GNB2,-0.742600799
HERPUD1,-0.515380859
GNAI2,-0.887298942
PRB3,-0.886772335
KMT5A,-0.643142879
TMEM259,-1.060438633
FBXL8,-1.115773797
ADAM15,-0.878468752
TPRA1,-1.377956867
ITGA4,0.654168606
DLL3,-1.382435083
PAF1,-1.211166263
THEM6,-0.433181673
STAP2,-0.495473146
SH3GLB2,-0.566178322
ASPSCR1,-0.816487849
AGPAT2,-1.470495105
SLC29A1,-1.154827595
COL6A2,-0.859407663
BOP1,-0.705342591
IL1R1,-0.643884182
EVA1B,-1.487811685
HS6ST1,-1.001499653
FANCA,-0.92834568
ZFPL1,-0.850093782
RFXAP,-0.823356032
U2AF1,-0.517584443
PAF1,-1.230991721
KLF5,-0.772100568
MMP11,-0.449216843
DLX5,-0.606937945
MX2,-0.873440802
C20orf27,-0.425718874
ALPL,-0.923939049
EHBP1L1,-0.822451949
LCP1,0.614115775
DUSP3,-0.617168248
GAREM1,-0.428702682
SOX4,-0.471185744
GPRC5A,-0.507795036
WWP2,-0.677986681
ABLIM3,-0.940329611
QPCT,0.403378993
ADIRF,-0.595438123
GID8,-0.379296124
GTF2A2,0.384192705
GATAD2A,-0.614783227
CELF3,-0.79904902
TCP11L1,-0.755573034
NET1,-0.370027781
PTPN2,-0.965933383
PTK6,-0.551042557
BIK,-0.449310601
ATP1A3,-0.806164086
CYP3A4,-0.440182418
CALCRL,-0.649371922
EPPK1,-0.637693644
LAMA5,-0.883727968
NMNAT2,-0.781724513
CNN2,-1.204113007
HBQ1,-1.185128212
OXT,-1.162510872
PAF1,-1.235170484
PAQR4,-0.752878547
COL10A1,-1.08343792
TXN,-0.656754315
IL1R1,-0.594275773
FZD8,-0.824366629
PROC,-1.133408308
ACAN,-1.370339751
ALPP,-0.905279398
FBXL6,-0.798382044
ADAM15,-0.849364042
CRIP2,-0.487232596
NEUROG1,-1.632383823
KMT5A,-0.734522283
APOC3,-0.750930488
PAF1,-1.277443767
PROC,-1.212525368
EVPL,-0.594972968
