names,logfoldchanges,condition
BAG4,-1.352580667,MAOA
PTBP3,-1.303391695,MAOA
LAT2,0.385269672,MAOA
CIRBP,-0.840084612,MAOA
AGPAT2,-1.193234205,MAOA
CEBPA,-0.498612344,MAOA
NAPG,-1.002491593,MAOA
FFAR2,-0.784714103,MAOA
GPX2,-0.496043533,MAOA
IFT27,0.375166714,MAOA
NTM,-0.714396894,MAOA
MAP3K1,-1.081424356,MAOA
CFLAR,-0.79283464,MAOA
GNA11,-0.605473995,MAOA
SALL2,0.563613057,MAOA
ALDH18A1,-0.563150525,MAOA
AKR1B10,-0.974700272,MAOA
COQ3,-1.045389771,MAOA
MXD1,-1.069133043,MAOA
IDE,-0.917203307,MAOA
LAT2,0.388570279,SOAT1
CIRBP,-0.794729352,SOAT1
BAG4,-1.188810349,SOAT1
AKAP13,-1.467972398,SOAT1
HADH,-0.502035201,SOAT1
CALU,-0.378952384,SOAT1
COQ8A,-0.760817409,SOAT1
PAF1,-1.001489162,SOAT1
CFLAR,-0.74413842,SOAT1
HSPD1,-0.573899865,SOAT1
IDE,-0.881611884,SOAT1
INPP4B,-0.769320786,SOAT1
DRAP1,0.196733594,SOAT1
BIK,-0.600675941,SOAT1
ANO1,-1.023357511,SOAT1
CAPG,0.246450529,SOAT1
DENND3,0.419861764,SOAT1
CCND1,-1.014507294,SOAT1
ALG5,-0.553781927,SOAT1
NET1,-0.362496644,SOAT1
DIO2,-0.851350904,BCAN
CARMIL1,-1.842987061,BCAN
RBM8A,0.499685317,BCAN
TGFBR2,-1.314032078,BCAN
UBR5,-0.922794223,BCAN
IDE,-1.015305877,BCAN
PABPC3,-0.746893525,BCAN
TSPOAP1,0.698346615,BCAN
ADSL,0.358107865,BCAN
HSPD1,-0.699286997,BCAN
NUDT9,-0.387141615,BCAN
GYPC,0.601550937,BCAN
CBX1,-0.49909687,BCAN
CPD,-1.640643358,BCAN
ANO1,-1.496849298,BCAN
ARHGEF12,-1.288096547,BCAN
VPS13D,-1.136563778,BCAN
RAB1A,-1.033427,BCAN
CEBPA,-0.498474836,BCAN
DLAT,-1.071742058,BCAN
PDIA3,-0.549589813,SCN2A
CCDC186,-1.451377392,SCN2A
AKAP13,-1.492223501,SCN2A
PIGF,-0.875169337,SCN2A
GRHL2,-0.834564924,SCN2A
ZNF165,-1.038408279,SCN2A
CYTH3,-1.40743947,SCN2A
DRAP1,0.202888131,SCN2A
PSD4,-1.030318737,SCN2A
BRAF,-1.546311021,SCN2A
PAF1,-1.012145877,SCN2A
FIP1L1,-0.68620187,SCN2A
IDH3B,0.362526715,SCN2A
APOC3,-0.787255645,SCN2A
HADH,-0.497911185,SCN2A
KLHL24,-0.991510928,SCN2A
CDC40,-0.979539394,SCN2A
GALNT3,-0.390761703,SCN2A
CALU,-0.380224138,SCN2A
CCDC85B,-0.825134218,SCN2A
MAP3K9,-0.691478252,SLC6A1
HERPUD1,-0.665449977,SLC6A1
TPD52,-0.417507738,SLC6A1
ATF6B,-1.044073224,SLC6A1
PTBP3,-1.180856466,SLC6A1
CBX1,-0.497106254,SLC6A1
PAF1,-1.012665153,SLC6A1
TMEM74B,-0.855562687,SLC6A1
HOXB9,-0.808993876,SLC6A1
DRAP1,0.201939195,SLC6A1
EPCAM,-0.802250028,SLC6A1
CALCRL,-0.546133578,SLC6A1
HADH,-0.473711491,SLC6A1
TMPRSS11E,-0.688176334,SLC6A1
DLAT,-0.993107259,SLC6A1
HTRA1,0.801217198,SLC6A1
DOCK9,-0.540975153,SLC6A1
MCCC2,-0.731133461,SLC6A1
AGPAT2,-1.189628243,SLC6A1
CDK8,-0.724558413,SLC6A1
CCDC186,-1.536464453,ALDH9A1
TAF15,-0.776082158,ALDH9A1
PAPSS1,-0.888432682,ALDH9A1
AKAP13,-1.493298531,ALDH9A1
AKTIP,-0.772674024,ALDH9A1
COL2A1,-0.596269548,ALDH9A1
TMEM97,-0.488165587,ALDH9A1
REV1,-1.064941525,ALDH9A1
GPATCH2,-0.563481033,ALDH9A1
U2AF1,-0.446377397,ALDH9A1
GRHL2,-0.749778152,ALDH9A1
MED4,-0.596925616,ALDH9A1
ATF6B,-1.057162285,ALDH9A1
TADA2A,-1.410014391,ALDH9A1
MTHFD2,-0.276309311,ALDH9A1
UBE2W,-0.827332497,ALDH9A1
PDGFB,-0.767487288,ALDH9A1
CIRBP,-0.710339606,ALDH9A1
CYTH3,-1.266973019,ALDH9A1
HSPD1,-0.562226236,ALDH9A1
AKAP13,-1.805246711,MAPK14
ATP7A,-0.84668535,MAPK14
GPSM2,-0.848867655,MAPK14
SKI,-0.937945962,MAPK14
AKTIP,-0.730607212,MAPK14
MXD1,-1.05942142,MAPK14
MCPH1,-1.33341372,MAPK14
LCN1,-1.065352798,MAPK14
CCDC186,-1.279959321,MAPK14
ATF6B,-1.105529189,MAPK14
NTM,-0.689248443,MAPK14
NFAT5,-0.969287932,MAPK14
CCN4,-0.818695188,MAPK14
MTSS1,-0.924764395,MAPK14
HSPD1,-0.573139131,MAPK14
MTHFD2,-0.277372122,MAPK14
PDGFB,-0.755999446,MAPK14
ANKHD1,-0.972388387,MAPK14
ALPI,-0.827811718,MAPK14
FIP1L1,-0.672862113,MAPK14
CCDC186,-1.420158505,FOXM1
GRHL2,-0.81518805,FOXM1
ZHX2,-0.644557655,FOXM1
ZNF165,-0.940424502,FOXM1
HADH,-0.526077449,FOXM1
DNAJC3,-1.11303544,FOXM1
PAF1,-1.025793433,FOXM1
PDIA3,-0.550381303,FOXM1
DRAP1,0.203928456,FOXM1
PDP1,-0.583289266,FOXM1
ADIRF,-0.594178021,FOXM1
ATP7A,-0.724903643,FOXM1
AKAP13,-1.352249622,FOXM1
IRX4,-0.711018562,FOXM1
CDK8,-0.752327323,FOXM1
CCDC85B,-0.751572013,FOXM1
BRAF,-1.454948068,FOXM1
KRT19,-0.54200232,FOXM1
FIP1L1,-0.640637517,FOXM1
LOXL1,-0.635462999,FOXM1
CARMIL1,-1.695651412,BOP1
DLAT,-1.141859293,BOP1
EPPK1,-0.932837069,BOP1
CEBPA,-0.504413784,BOP1
MTSS1,-1.013723969,BOP1
KMT5A,-0.809774339,BOP1
IFT27,0.393522024,BOP1
PRB3,-0.830447793,BOP1
MAP3K1,-1.096381307,BOP1
CBX1,-0.515682101,BOP1
HADH,-0.526944995,BOP1
CAND2,0.497247636,BOP1
IDH3B,0.375452161,BOP1
EED,-0.898040116,BOP1
TGFBR2,-1.06011796,BOP1
EIF3E,-0.857569098,BOP1
RARA,-1.280678153,BOP1
JUN,0.474833518,BOP1
CREBZF,-1.270655274,BOP1
APOC3,-0.771615744,BOP1
TMEM50B,-0.781763256,PIK3CD
PIGF,-0.835216165,PIK3CD
CARMIL1,-1.274646044,PIK3CD
DRAP1,0.201692119,PIK3CD
EBAG9,-0.68013972,PIK3CD
ATP7A,-0.825540304,PIK3CD
MAP3K1,-1.04429853,PIK3CD
ZNF165,-0.882708609,PIK3CD
EFNA4,-1.043581724,PIK3CD
GRHL2,-0.731191933,PIK3CD
CDK8,-0.694568753,PIK3CD
PEX2,-0.652016163,PIK3CD
CCDC186,-1.170423865,PIK3CD
ADIRF,-0.582935393,PIK3CD
PTBP3,-1.049308777,PIK3CD
IDH3B,0.341762811,PIK3CD
CD1B,-0.693446398,PIK3CD
THEM6,-0.550097883,PIK3CD
AKAP13,-1.356287241,PIK3CD
BAG4,-1.061898947,PIK3CD
ABR,-1.128789186,AMIGO2
NFAT5,-1.179568887,AMIGO2
HADH,-0.555507421,AMIGO2
AKAP13,-1.517758131,AMIGO2
INPP5J,-1.297902346,AMIGO2
ATF6B,-1.059813619,AMIGO2
SCD,-0.672833085,AMIGO2
UBE2W,-0.870205045,AMIGO2
KLHL36,-0.78636384,AMIGO2
ARID3A,-0.77690208,AMIGO2
CCDC186,-1.219392776,AMIGO2
EPPK1,-0.825579941,AMIGO2
LMX1B,-1.08439362,AMIGO2
CYTH3,-1.234679222,AMIGO2
PRR4,-0.736141741,AMIGO2
CBX1,-0.443909407,AMIGO2
MED4,-0.581901312,AMIGO2
COL2A1,-0.574166536,AMIGO2
MTSS1,-0.996116042,AMIGO2
HOXB9,-0.738693058,AMIGO2
TGFBR2,-1.45762229,BCAS3
ERBB3,-1.734365106,BCAS3
TOX,0.352301985,BCAS3
ARMCX1,0.904913485,BCAS3
CARMIL1,-1.457228541,BCAS3
SH3YL1,-0.438440233,BCAS3
MTSS1,-1.031069517,BCAS3
CFLAR,-0.842943668,BCAS3
VPS13D,-1.205245614,BCAS3
KMT5A,-0.81313014,BCAS3
PDIA5,-0.472062588,BCAS3
PADI3,-1.049210668,BCAS3
AKR1C2,-2.229827881,BCAS3
CEBPA,-0.499374509,BCAS3
PRR4,-0.822322547,BCAS3
LAT2,0.369861484,BCAS3
CIRBP,-0.821568787,BCAS3
MCPH1,-1.48063159,BCAS3
ARMT1,-1.165237308,BCAS3
MYO5C,-0.665124416,BCAS3
AKAP13,-1.791721582,AREG
BRAF,-1.461599946,AREG
KLHL36,-0.914147556,AREG
NTM,-0.746691644,AREG
COL5A1,-1.287675858,AREG
GRHL2,-0.771545827,AREG
DDX52,-1.520904183,AREG
CCDC186,-1.369194865,AREG
MTDH,-0.484295547,AREG
NSF,-0.625337422,AREG
THRAP3,-1.091272712,AREG
MAP3K1,-1.11347878,AREG
VPS13D,-1.076883316,AREG
ALDH18A1,-0.542646766,AREG
LRFN4,-0.84520793,AREG
HSPD1,-0.596032739,AREG
IRF7,-0.456495643,AREG
ATP1B1,-0.405202866,AREG
UBR5,-0.75038594,AREG
SLC2A8,-1.011449575,AREG
DIO2,-0.866071105,BSN
PDIA5,-0.470903754,BSN
CARMIL1,-1.520342588,BSN
GID8,-0.596332252,BSN
DPP6,0.584218562,BSN
CEBPA,-0.51097244,BSN
JUN,0.492051065,BSN
THEM6,-0.713747025,BSN
IDH3B,0.388456196,BSN
APOC3,-0.756405354,BSN
SCD,-0.706366241,BSN
SCAF11,-1.187317848,BSN
NTM,-0.735991657,BSN
PRR4,-0.821007133,BSN
HSPD1,-0.636328876,BSN
ARMCX1,0.850520253,BSN
CLIC3,-1.351430058,BSN
ARMT1,-1.202930927,BSN
IFT27,0.404475957,BSN
EIF3E,-0.874007463,BSN
CYTH3,-1.544084907,GNPTAB
AGPAT2,-1.298929572,GNPTAB
FIP1L1,-0.683293283,GNPTAB
PAF1,-1.082279444,GNPTAB
PSD4,-1.068417907,GNPTAB
STAP2,-0.743554354,GNPTAB
LOXL1,-0.707542658,GNPTAB
ELN,-1.104209065,GNPTAB
HADH,-0.522632718,GNPTAB
MTSS1,-1.002022147,GNPTAB
PDGFB,-0.846263111,GNPTAB
ARMT1,-1.470925212,GNPTAB
SH3GLB2,-0.873722434,GNPTAB
GRHL2,-0.762156963,GNPTAB
TADA2A,-1.55553019,GNPTAB
CALU,-0.39485684,GNPTAB
BAG4,-1.120362163,GNPTAB
MXD1,-1.05690217,GNPTAB
INPP5J,-1.294446945,GNPTAB
EED,-0.834544837,GNPTAB
PDIA3,-0.521359146,EIF2S1
ZNF165,-1.022959948,EIF2S1
TBPL1,-0.995975137,EIF2S1
CCDC186,-1.497733712,EIF2S1
PAF1,-1.069431901,EIF2S1
CLIC3,-1.582461476,EIF2S1
PTBP3,-1.209388971,EIF2S1
MXD1,-1.106906414,EIF2S1
CALU,-0.387746185,EIF2S1
APOC3,-0.87583214,EIF2S1
UBE2W,-0.897063494,EIF2S1
LOXL1,-0.697802424,EIF2S1
CYTH3,-1.425775409,EIF2S1
DIO2,-0.725111604,EIF2S1
ATP7A,-0.773855448,EIF2S1
CAND2,0.495190382,EIF2S1
AKAP13,-1.561269164,EIF2S1
SPINT2,-0.356622845,EIF2S1
LMX1B,-1.17055738,EIF2S1
VAMP8,-0.332892865,EIF2S1
TMEM50B,-0.854744077,CHRM2
ZNF165,-0.997307658,CHRM2
