names,logfoldchanges,condition
MRPS28,-0.31993857,HSP90AB1
HLA-F,-0.238071546,HSP90AB1
JMJD7,-0.489641041,HSP90AB1
HLA-G,-0.308659613,HSP90AB1
SFXN1,-0.195457995,HSP90AB1
KAT6A,-0.265684426,HSP90AB1
ATXN2,-0.393644005,HSP90AB1
NUDT3,-0.196108148,HSP90AB1
TCF20,-0.232362926,HSP90AB1
HLA-C,-0.223166451,HSP90AB1
TMBIM6,-0.381577313,HSP90AB1
MINK1,0.277270764,HSP90AB1
BRD2,-0.361244231,HSP90AB1
SELENOT,-0.179315239,HSP90AB1
ITGAE,-0.125292286,HSP90AB1
YIPF5,-0.236038551,HSP90AB1
CALB1,0.479633003,HSP90AB1
TAGLN2,-0.167194411,HSP90AB1
FTSJ1,-0.169951037,HSP90AB1
HLA-B,-0.158233657,HSP90AB1
PYGB,0.537925541,GPR183
NT5C2,-0.477792591,GPR183
PI4KA,0.407633066,GPR183
WDR74,0.35220769,GPR183
SARS2,0.333824366,GPR183
EIPR1,0.280869454,GPR183
ARMCX3,-0.44231075,GPR183
WRAP73,0.288167179,GPR183
RSPH14,0.445505947,GPR183
SPHK2,0.415370673,GPR183
LZTR1,0.450838953,GPR183
PSMD3,0.309367418,GPR183
KCNN4,0.328027159,GPR183
VPS26A,-0.425706148,GPR183
TSGA10,0.392520577,GPR183
FOXL2,0.463964969,GPR183
DNAI1,0.519939184,GPR183
TAF9B,-0.602352679,GPR183
HIGD2A,0.306004912,GPR183
MED20,-0.486172825,GPR183
GCN1,0.423051625,CRIP2
LAMTOR3,-0.510501862,CRIP2
PABPC4,0.456177682,CRIP2
ECSIT,0.426183254,CRIP2
KIAA0930,0.413359106,CRIP2
WDR74,0.377375811,CRIP2
SERPINE1,0.213293597,CRIP2
EAPP,-0.710130095,CRIP2
RBKS,-0.770666659,CRIP2
NF2,0.414533496,CRIP2
CD2BP2,0.385235131,CRIP2
PPID,-0.364820123,CRIP2
TMEM126B,-0.846824229,CRIP2
TRA2A,-0.33213982,CRIP2
GAS6,0.374961287,CRIP2
TAP1,0.312005401,CRIP2
BRD9,0.435675383,CRIP2
ITGB5,0.330370218,CRIP2
RNF216,0.30843547,CRIP2
C11orf58,-0.874274731,CRIP2
EGR1,0.379808664,MAPK14
DNM1,0.434374005,MAPK14
MAPK8IP3,0.303518564,MAPK14
NR4A1,0.35894835,MAPK14
JUNB,0.244457111,MAPK14
NEO1,0.318963587,MAPK14
SHROOM2,0.314052939,MAPK14
SOX2,-0.402445257,MAPK14
OGFOD1,-0.166012958,MAPK14
ERBB2,0.350383282,MAPK14
TLR4,-0.409081727,MAPK14
MINK1,0.321458966,MAPK14
NFIC,-0.341160923,MAPK14
OSBPL11,-0.423165113,MAPK14
EGR3,0.300304949,MAPK14
TNPO3,-0.256759375,MAPK14
ARHGAP33,0.287242949,MAPK14
GP5,-0.445767879,MAPK14
NPTX2,0.231041461,MAPK14
EPN2,0.288036257,MAPK14
CRYAB,-0.226489857,C5AR1
SLC25A1,0.44310239,C5AR1
GOLT1B,-0.303305149,C5AR1
GPC1,0.386998922,C5AR1
DGCR2,0.589354992,C5AR1
SRSF10,-0.321495682,C5AR1
GTF3C1,0.419166535,C5AR1
MADD,0.511077881,C5AR1
RPL26L1,-0.502607942,C5AR1
CSNK1A1,-0.557178736,C5AR1
MLEC,0.192461044,C5AR1
GSK3A,0.491813421,C5AR1
ARMCX3,-0.499078333,C5AR1
TAPBP,0.275207639,C5AR1
SRSF5,-0.541725039,C5AR1
KRBOX4,-0.447286516,C5AR1
GPX3,-1.44675386,C5AR1
ACTR10,-0.454149634,C5AR1
BRAF,-1.264343858,C5AR1
PRKCH,-0.502139628,C5AR1
TMPRSS15,0.395363539,HAVCR1
TBRG4,0.490906686,HAVCR1
GUCY2C,0.405091941,HAVCR1
TMEM109,0.198223606,HAVCR1
CARM1,0.35340476,HAVCR1
SPRR3,-1.122617364,HAVCR1
KRI1,0.382119298,HAVCR1
FUT8,-0.765803635,HAVCR1
CFTR,0.350145042,HAVCR1
LLGL2,0.316940725,HAVCR1
PSMD3,0.333470255,HAVCR1
NTRK2,-0.530815005,HAVCR1
TMEM132A,0.500219524,HAVCR1
CSK,0.449333876,HAVCR1
RPA3,-0.669916034,HAVCR1
NR1I2,0.334858418,HAVCR1
GATA4,0.439379185,HAVCR1
PDCD5,0.455948114,HAVCR1
PLOD3,0.223271474,HAVCR1
ADNP2,-0.295591742,HAVCR1
KDM4A,0.341051251,VDAC2
SPATA2,0.474988788,VDAC2
CDH7,0.459808499,VDAC2
HTRA1,0.492400378,VDAC2
FOXJ2,0.275544137,VDAC2
TEX14,0.604009211,VDAC2
CNTLN,0.2955423,VDAC2
SLC13A3,0.371536762,VDAC2
CST7,0.283184439,VDAC2
MCF2,0.463594377,VDAC2
ANK2,0.114142314,VDAC2
MYO1D,0.317304671,VDAC2
SZT2,0.489822686,VDAC2
SPACA1,0.637050688,VDAC2
CCR10,0.310545623,VDAC2
RNF32,0.556309879,VDAC2
WT1-AS,0.478270918,VDAC2
MGAT5,0.51254189,VDAC2
HSPA1L,0.424075574,VDAC2
RAB5B,0.301621348,VDAC2
AURKB,0.279467821,CHSY1
CBR4,-0.504006863,CHSY1
DCTN1,0.46614033,CHSY1
CNOT3,0.362826407,CHSY1
HPCAL1,0.354181021,CHSY1
SLC4A2,0.355339348,CHSY1
PDK3,-0.636557579,CHSY1
C1orf35,0.523138702,CHSY1
WDR74,0.360430717,CHSY1
E2F1,0.407081664,CHSY1
ADRM1,0.486169994,CHSY1
TEDC2,0.502658367,CHSY1
AUP1,0.259476602,CHSY1
APOO,-0.289488256,CHSY1
SPG11,-0.453257918,CHSY1
GAS6,0.342575431,CHSY1
STX4,0.233930379,CHSY1
HSF1,0.436983556,CHSY1
HLF,-0.283520907,CHSY1
AAMP,0.428207815,CHSY1
EGR1,0.382746428,CAMK2A
JUNB,0.296194375,CAMK2A
OSBPL11,-0.469677329,CAMK2A
MAPK8IP3,0.304494441,CAMK2A
FOSB,0.32522288,CAMK2A
MINK1,0.362563133,CAMK2A
MAPK9,-0.242699623,CAMK2A
FBRS,0.405637622,CAMK2A
STAU2,-0.315177888,CAMK2A
FOS,0.178718939,CAMK2A
IER2,0.262271464,CAMK2A
RMI1,-0.347137064,CAMK2A
TRIB1,0.429646313,CAMK2A
UBE2W,-0.728323519,CAMK2A
CEP164,0.426786393,CAMK2A
ARHGAP33,0.311455458,CAMK2A
PDS5A,-0.306298733,CAMK2A
LIMCH1,-0.164735585,CAMK2A
FADS2,-0.2672095,CAMK2A
EGR2,0.283175468,CAMK2A
STRN4,0.396922976,CD2
KLHL24,-0.996888518,CD2
QSOX1,0.399860948,CD2
PKM,0.25803104,CD2
BRAF,-1.247213364,CD2
CASR,0.493252665,CD2
NRAS,-0.27241838,CD2
SNAPC4,0.417093456,CD2
MOB4,-0.389131874,CD2
PRIM1,-0.639430165,CD2
GSK3A,0.409685671,CD2
TFDP2,-0.478021473,CD2
GTF3C1,0.380759954,CD2
ODR4,-0.607102096,CD2
GOLT1B,-0.252591133,CD2
KCNN4,0.31197843,CD2
NPDC1,0.206779182,CD2
PPP2R1A,0.44351393,CD2
RBBP8,-0.291245908,CD2
CRYZL1,-0.758738995,CD2
BAD,0.404161841,CLEC1A
TSPO,0.328648388,CLEC1A
NFKB2,-0.365004838,CLEC1A
RAB11FIP5,0.351830393,CLEC1A
CLN3,0.383298695,CLEC1A
TOMM20,-0.228571028,CLEC1A
HS1BP3,0.436233729,CLEC1A
RALGAPA1,-0.425478131,CLEC1A
EGLN2,0.386990249,CLEC1A
RO60,-0.252306879,CLEC1A
CHMP1A,0.506233394,CLEC1A
CAND1,-0.444609523,CLEC1A
PGAP1,-0.439085364,CLEC1A
LYPLA2,0.361531019,CLEC1A
BABAM1,0.274839014,CLEC1A
ADRM1,0.481877506,CLEC1A
RABAC1,0.337872446,CLEC1A
LDB1,0.385629505,CLEC1A
PTPRZ1,-0.201274887,CLEC1A
GAS6,0.390526175,CLEC1A
SLC2A6,0.292096674,DEFB4A
MVP,0.506683528,DEFB4A
KEAP1,0.176608443,DEFB4A
FLII,0.466167837,DEFB4A
TNIP1,0.299477786,DEFB4A
CCDC28A,-0.615218699,DEFB4A
ACTR6,-0.471450895,DEFB4A
GAS6,0.37117362,DEFB4A
EIF3G,0.349064559,DEFB4A
PSMB8,0.113841385,DEFB4A
TSPAN6,-0.3314237,DEFB4A
TAP1,0.313765734,DEFB4A
ADRM1,0.469466001,DEFB4A
ITGA3,0.482283413,DEFB4A
AUP1,0.261154801,DEFB4A
TMEM100,-0.51330775,DEFB4A
HDLBP,0.306136012,DEFB4A
LEF1,-0.413865358,DEFB4A
PROCR,0.351377398,DEFB4A
RGS3,0.312662125,DEFB4A
ZNF710,0.455645502,ABCG2
SPACA1,0.695849717,ABCG2
HTRA1,0.46041742,ABCG2
ZFP36,0.437698334,ABCG2
MAGEA8,0.541223645,ABCG2
PCDHA2,0.53760767,ABCG2
IMPA2,-0.316595525,ABCG2
SOX17,0.408212662,ABCG2
ZFP37,0.33129704,ABCG2
FGF23,0.606033206,ABCG2
CEP295,0.392139077,ABCG2
MYEF2,0.63547641,ABCG2
GPR85,0.585933447,ABCG2
IL3,0.490855008,ABCG2
ST8SIA3,0.601952255,ABCG2
AGMAT,0.444897771,ABCG2
F2RL3,0.677424073,ABCG2
LAMP3,0.494814932,ABCG2
ZNF337,0.508662224,ABCG2
KCNC4,0.509401977,ABCG2
DCAF15,0.479046404,CDKAL1
EGR1,-0.31779629,CDKAL1
MRPL4,0.326008618,CDKAL1
PIAS4,0.353826851,CDKAL1
CNOT3,0.414699525,CDKAL1
