names,logfoldchanges
SULT1A1,-0.268356979
SULT1A2,-0.314562619
PAF1,-0.405345201
CDR2,-0.341882527
TCL6,-0.33976981
GTF3C4,-0.337136537
SMCO4,-0.239693016
PDGFB,-0.294580549
CENPN,-0.326724261
CD226,-0.417851865
RGS2,0.162632093
LGALSL,-0.399177372
IFI44,-0.284895778
CDC6,-0.255692214
ABCG5,-0.433027685
GOLGB1,-0.448282361
LYZ,-0.350243658
CLIC3,-0.866976142
RAB14,-0.34720543
DDX58,-0.14675954
G6PD,0.251031697
AURKAIP1,0.343486637
CACNG1,0.445617974
GLYR1,0.244922355
DNAJC6,-0.291027725
PXMP4,0.380303025
SCAMP1,-0.709809899
VAMP3,0.177907184
MAPK8IP3,0.336854249
PGK2,0.337305129
KXD1,0.165691093
PIP5K1C,0.375476211
THAP3,0.416732758
DVL1,0.251236647
RAF1,0.379436493
C7orf26,0.300534844
RCAN1,-0.366030067
MUL1,0.298242956
TST,0.219153181
NAA60,0.257069468
FIS1,0.196730971
IK,-0.297247797
LGALSL,-0.40727061
ACLY,-0.197831675
PCYOX1,-0.295460552
APOBEC3A,-0.582603812
DLEU1,-0.259029359
MAT2B,-0.319381326
IVL,-0.681739569
C11orf58,-0.692226529
PTEN,-0.172185645
ACTR2,-0.278642356
VPS26A,-0.250726998
S100A7,-1.901358604
PKD1,0.319622487
STK25,0.266286761
UQCR11,0.21098049
MXD1,-0.552518964
KRT5,-0.213448584
SLC12A6,-0.398270696
USP22,0.173179388
SMG8,0.273045063
RNPS1,0.161518365
UBE2M,0.308492094
TM9SF4,0.326443523
PPIE,0.20020543
ARHGAP35,0.403153449
PSMD2,0.070701748
APBB1,0.471175224
PGK2,0.416305065
YKT6,0.18720682
TUBA4A,0.166147426
HAP1,0.316368222
ARNT,0.32406202
SCAND1,0.230254635
HLA-DRA,-0.254388034
TNPO2,0.297356993
KCNC2,0.4238244
BYSL,0.1757828
GNAT1,0.480071336
CELA2B,0.496722698
MEG3,0.328077763
MILR1,0.332698256
PRKCH,-1.125765681
RBPJL,0.498850822
GOLPH3,-0.424006432
ID2,-0.746549904
SUZ12,-0.177623242
ZNF668,0.386262357
ERBB3,-0.882487476
TRHDE,0.454998195
SC5D,-0.177486062
TOP3A,0.55822438
DUSP26,0.585728347
TRPC4,0.549824715
ZFYVE9,0.500601232
EED,-0.421873957
FOXC2,0.52397871
SIRT4,0.548768163
E4F1,0.50165695
PPP2R1A,0.617377281
ZFAND3,0.32757023
IRF3,0.35380435
KDELR1,0.372660697
LGALS9,0.332649171
TFPT,0.494586796
MED25,0.448238909
CCR7,-28.59055519
HSPBP1,0.505318463
UBTF,0.532720327
TOMM40,0.595024228
ECH1,0.181330174
SNRPC,0.327797174
MAPK8IP1,0.495263189
TBRG4,0.41508463
CHD8,0.344934613
PRPF31,0.4728508
COPS6,0.169530347
E2F1,0.440124452
TFIP11,0.549354792
GPC1,-0.376746893
FOXC2,0.542895496
AIF1,0.314658642
UBE2B,-0.601448298
C2orf83,0.569405794
ZBP1,0.354811311
AIPL1,0.601454198
OTUD7B,0.417908013
CYBB,0.259935021
GLRA1,0.461076498
ZFYVE9,0.541298151
AKAP5,0.442086101
CREBZF,-0.904022098
PAEP,0.320782632
S100A8,0.371297598
KLK15,0.489033967
TSPOAP1,0.462521076
CLDN1,-0.452792555
ZBTB22,0.398651212
FCGR2B,0.373791486
SMARCC2,0.10198807
COASY,-0.186495632
PSMC5,-0.063117087
ABHD10,-0.053296886
DDX50,-0.070450447
DNAJC7,-0.065593205
SLC25A12,-0.104051456
ATXN7,0.057361569
FNTA,-0.076854102
DCXR,-0.070743687
MBD4,0.096194185
HSPB8,0.084574513
MAP4K2,-0.086270161
DHX8,-0.08411026
AP3M2,-0.068266504
GTF2A2,0.046690017
BTK,-0.056059219
MLX,-0.060252007
TTC26,-0.089327618
TNFSF11,-0.100813642
S100P,-0.34666416
IL1RN,-0.392735153
P4HA2,-0.66057837
CEACAM6,-0.320519
BRAF,-0.471131116
DPH2,-0.762003481
F2R,-0.503967762
IKBKB,-0.325028986
TALDO1,-0.335240334
HSDL2,-0.284427851
XPA,-0.51423353
BRCA1,-0.407200664
FIS1,0.181034908
HOXB9,-0.304813385
MFAP3,-0.65116328
LGALSL,-0.398328841
DUOX1,-0.29504174
MBOAT7,0.277322859
GTF3C4,-0.328657955
SERPINB1,-0.248411953
ARSJ,0.297986686
CAPN15,0.309671432
KLHL4,0.350103021
FFAR2,-0.478585362
POLR2C,0.244296893
ADORA2B,0.264330328
SAT1,-0.255619347
SPHK2,0.31192109
NTRK2,-0.540007412
AGPAT1,0.419731975
KCNN2,0.38004902
NRIP2,0.310694516
GALNT3,-0.155358121
ATP1B2,0.349075377
TNPO2,0.272190064
TGM4,0.434027255
GTF2F1,0.284611553
ZNF76,0.265490532
SH2B1,0.356757104
SMG8,0.256559908
ZBP1,0.371200591
SCN4A,0.670168877
APBB1,0.505264521
ARMCX1,0.284900963
APOL3,0.395135224
LYRM2,-0.449650019
HAT1,-0.459546953
SLC5A6,0.353368759
FABP2,0.37975955
KRT17,-0.437857002
DOC2A,0.445829242
FOXB1,0.377068579
OR3A2,0.451490819
SCO2,0.284068406
TRIM17,0.387403637
HECW1,0.475856543
SMIM14,0.365058511
CRX,0.46028927
C5AR2,0.533414662
IRGQ,0.323842019
UBR4,0.490549833
EXOC7,0.294820458
RERE,0.408511877
STRADA,0.282468826
ACADVL,0.585543215
TMEM50B,-0.555211961
PSMD2,0.079067238
SETDB1,0.352757633
APBB1,0.485693693
PPM1G,0.414635628
BAP1,0.442562014
GTF3C1,0.374390244
THOC5,0.267853141
ATP6V0A1,0.552130818
CLSTN1,0.276032656
MCM5,0.330885828
POMGNT1,0.316451013
SEC24C,0.396438003
ILF3,0.522638202
WDTC1,0.506837666
AGL,-0.259045094
IK,-0.290046334
MX1,-0.121809289
SOX2,-0.328155786
PLK1,-0.287135899
CIRBP,-0.317689061
TMX2,-0.197260246
SSRP1,-0.191401646
NACA4P,-0.216924176
CBX1,-0.356543124
KPNA3,-0.616570175
BRD7,-0.308213383
HSPH1,-0.283101082
APOBEC3A,-0.528034866
PAAF1,-0.316384792
IL1RN,-0.326332629
AKR1C2,-0.46127072
TOMM70,-0.131831735
PPP2R5A,-0.102276459
COL5A1,-0.331695914
MORC2,0.347834796
EXOC7,0.294764727
STRADA,0.280578792
SAP30BP,0.196121827
DCTN1,0.575773001
CDK5RAP1,0.286929518
AP1AR,-0.620473742
KXD1,0.198064223
ATP6V0A1,0.555710793
PES1,0.28718248
TAF6,0.340721041
LZTR1,0.422700137
TBRG4,0.401386499
MCM5,0.355637223
FAS,-0.298744887
PI4KB,0.452054948
HTR3A,0.371583998
KLHL18,0.189838558
FGD1,0.325843602
THOC5,0.264972478
GTF3C1,0.337323159
RXRA,0.177727729
RFC2,0.256575137
DEPDC5,0.331955135
VPS11,0.319215387
GRHPR,0.248061255
FKBP15,0.231733307
PTPA,0.293676943
DDX23,0.207403585
RNPEP,0.185055107
DNM2,0.353215724
CAPZA2,-0.352189451
GMEB2,0.293328971
EIF4H,0.257181674
EIF3B,0.215496927
LRP10,0.206026182
SUN2,0.281291097
GOLT1B,-0.149099916
PPP2R5D,0.347352415
DDB1,0.351373851
HMGCS1,-0.088203229
RHOA,-0.85006392
GSTM4,0.362391382
FRG1,-0.298368603
NOX1,0.325373858
TOGARAM1,0.149560526
FLOT1,0.292967469
CENPN,-0.327605933
NR2F6,0.095386975
ASS1,0.190422058
TEP1,0.32291165
HSD11B2,0.181398645
KLK15,0.423717618
TRMT2B,0.229535863
IFIT3,-0.321503997
ANK2,0.147864744
ZNF536,0.275513113
ADORA2B,0.252795517
PAFAH2,0.349984825
DHDDS,0.295832455
PIR,-0.465975016
MYOZ1,0.327537328
ZNF335,0.334543467
RABIF,0.306522518
DSC3,-0.350903213
SRPK3,0.499395192
EXD3,0.337776423
TRPM8,0.491697967
MRPL58,0.157760948
ATP2A1,0.308744371
TLR4,-0.585208178
WT1,0.243591934
ETNPPL,-0.503674567
ABCA4,0.444625109
TSKS,0.35410127
GTF2F1,0.300501168
CACNA1S,0.44477427
MAST2,0.266054869
DRG2,0.283697635
ZNF76,0.282332987
SORBS3,0.406306416
CLUH,0.428738385
WDTC1,0.52731508
FTSJ3,0.325402409
ETV7,0.448411405
INPP5K,0.326695591
PSMD2,0.079369999
SAP30BP,0.188229978
HIF3A,0.406404912
TFIP11,0.545238614
HIVEP3,0.500545621
KXD1,0.190230906
NSDHL,0.233930543
ATP6V0A1,0.590959847
DNAJC11,0.418342203
IRF2BP1,0.54266268
IMP4,0.204015464
EXOC7,0.25846827
MYBBP1A,0.482704282
MPST,0.347506315
ADORA2B,0.283065319
CADPS2,0.304332316
ELSPBP1,0.34815383
NOX1,0.314946592
EXD3,0.324443251
ZBED8,0.245332822
GGA3,0.229203999
NINJ1,-0.281178117
MYEF2,0.484542996
TALDO1,-0.253576875
PKP2,0.122089073
RANBP2,-0.515175939
LARP6,0.214914605
THAP10,0.175070941
HGS,0.25805077
PAFAH2,0.324688017
CA8,0.368137181
DDX25,0.297052294
MAD2L1BP,0.170453623
HOXD13,0.314802766
ABCG5,-0.498509556
RAB9A,-0.367025852
XPA,-0.396062046
BRCA1,-0.287464797
ANKRD10,-0.258373737
DPH2,-0.524664462
ELF1,-0.361651123
PRR4,-0.488292068
TIAM1,-0.08272472
PEX13,-0.346640676
TUFT1,-0.216706708
SIGLEC1,-0.314118654
PAX9,-0.357257724
N4BP1,-0.312577486
CEP76,-0.602193892
NUDT9,-0.180886492
PSMG2,-0.268908918
RNF13,-0.428621471
CRTAP,-0.542930722
RUNX1,-0.198691726
SMAP1,-0.463211834
IK,-0.33061114
GNAQ,-0.179293051
TDRD3,-0.35337764
TFRC,-0.293831408
MBD2,-0.429425269
ATP6V0A1,0.509743452
DNAJB4,-0.552496195
PMAIP1,-0.367802411
TWSG1,-0.395746768
